,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460288.6898264,6.210227,-13.3211524,2,19.033849716186523,0.1738310605287552,60288.18982640002
2,2460287.6274884,6.2103464,-13.3213208,1,19.949600219726562,0.28509101271629333,60287.127488399856
4,2460284.7270486,6.2102076,-13.3211407,1,19.880199432373047,0.19616200029850006,60284.22704860009
5,2460284.6690856,6.2102133,-13.3212227,2,19.008100509643555,0.10230699926614761,60284.16908559995
7,2460268.6639583,6.2101369,-13.3212304,2,18.19809913635254,0.07963600009679794,60268.163958299905
8,2460262.8266782,6.2102077,-13.3211709,2,18.095800399780273,0.06428799778223038,60262.32667820016
10,2460262.7238542,6.2101906,-13.3211968,1,18.30620002746582,0.06255900114774704,60262.22385419998
11,2460262.7038079,6.2101893,-13.3211738,1,18.27899932861328,0.0645499974489212,60262.203807900194
12,2460260.7404167,6.2101858,-13.3212104,1,18.13409996032715,0.06369800120592117,60260.24041670002
13,2460260.720463,6.2102057,-13.3211755,2,18.033599853515625,0.06143999844789505,60260.22046299977
15,2460260.665463,6.2101759,-13.3212135,1,18.111299514770508,0.05771299824118614,60260.16546300007
16,2460258.8173727,6.2101829,-13.3212219,1,17.970500946044922,0.07027299702167511,60258.3173727002
17,2460258.8168981,6.2102355,-13.3211626,1,17.845699310302734,0.08206699788570404,60258.31689810008
18,2460258.7557292,6.2101631,-13.3212146,2,17.958799362182617,0.06109299883246422,60258.25572919985
21,2460255.6911458,6.2102033,-13.3211734,1,17.63479995727539,0.04846400022506714,60255.191145800054
22,2460255.6887847,6.2101952,-13.3211908,1,17.618000030517578,0.045775000005960464,60255.18878469989
25,2460253.7257523,6.2102112,-13.3211809,1,17.451000213623047,0.04670000076293945,60253.22575230012
26,2460253.7157523,6.2102084,-13.3212028,1,17.48579978942871,0.0477989986538887,60253.215752299875
27,2460251.722581,6.2101947,-13.3211817,1,17.384899139404297,0.047589000314474106,60251.22258100007
28,2460251.7221065,6.2101852,-13.3212017,1,17.325700759887695,0.04820999875664711,60251.22210650006
30,2460251.6891204,6.2101902,-13.3212044,2,17.437599182128906,0.03912299871444702,60251.18912040023
31,2460249.7451968,6.2102166,-13.3211578,1,17.27899932861328,0.04978499934077263,60249.24519680021
32,2460249.6915509,6.2101944,-13.3212175,2,17.32990074157715,0.046215999871492386,60249.19155090023
33,2460249.6910764,6.2101937,-13.3212267,2,17.3351993560791,0.03980199992656708,60249.191076400224
34,2460249.6267708,6.2102061,-13.3212245,1,17.27549934387207,0.04577299952507019,60249.12677079998
35,2460247.6417245,6.2102042,-13.321238,2,17.295799255371094,0.08588200062513351,60247.141724499874
36,2460247.6356019,6.2101465,-13.3211868,2,17.306699752807617,0.07807900011539459,60247.13560190005
37,2460247.6120139,6.2101445,-13.3211936,1,17.108200073242188,0.124379001557827,60247.11201390019
38,2460245.8018519,6.2102012,-13.3211877,1,17.105199813842773,0.05632200092077255,60245.30185189983
39,2460245.8013889,6.2102365,-13.3211472,1,17.099700927734375,0.06476899981498718,60245.301388899796
40,2460245.7144792,6.210208,-13.3212007,2,17.260499954223633,0.05186999961733818,60245.214479200076
41,2460245.7099421,6.2101708,-13.3211955,2,17.292499542236328,0.04985300078988075,60245.209942100104
42,2460242.8340162,6.2102097,-13.321154,1,17.029300689697266,0.04521000012755394,60242.334016200155
43,2460242.7310185,6.2101791,-13.3211886,2,17.302200317382812,0.05049699917435646,60242.23101849994
45,2460239.8378472,6.2101992,-13.321205,2,17.355600357055664,0.04127100110054016,60239.33784720022
46,2460239.7668287,6.2101969,-13.3211965,1,17.214000701904297,0.041416000574827194,60239.26682869997
48,2460238.7902199,6.2101968,-13.3211771,1,17.32270050048828,0.05141400173306465,60238.2902199002
49,2460237.7512269,6.2102086,-13.3211944,1,17.36050033569336,0.039739999920129776,60237.251226900145
51,2460236.7800579,6.2102145,-13.3211821,1,17.47719955444336,0.04241799935698509,60236.28005790012
53,2460235.6916088,6.2102173,-13.3211988,1,17.619300842285156,0.03576299920678139,60235.19160880009
55,2460234.7085648,6.2101962,-13.321187,1,17.77630043029785,0.04521000012755394,60234.20856480021
56,2460233.7108681,6.2101772,-13.3211961,1,18.031400680541992,0.054728999733924866,60233.21086810017
57,2460233.6693866,6.2101647,-13.3211991,2,18.215099334716797,0.0781169980764389,60233.169386600144
59,2460232.7309375,6.2101891,-13.3211522,1,18.249000549316406,0.0698150023818016,60232.23093750002
60,2460231.8147917,6.2102192,-13.3211834,2,18.67970085144043,0.08839000016450882,60231.31479169987
61,2460231.7205787,6.210203,-13.3211745,1,18.547399520874023,0.07271099835634232,60231.22057869984
62,2460230.8213542,6.2101836,-13.3211897,1,18.92729949951172,0.08554700016975403,60230.32135420013
64,2460228.7757523,6.2102222,-13.3212148,2,20.06800079345703,0.19028200209140778,60228.27575229993
65,2460228.7516435,6.2103439,-13.3211636,1,20.003700256347656,0.18043400347232819,60228.251643499825
66,2460227.869213,6.2101212,-13.3211866,1,20.56130027770996,0.27184298634529114,60227.36921299994
