,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460262.8991204,70.2992345,-7.4913386,1,19.208820343017578,0.07983054965734482,60262.399120400194
1,2460261.9129167,70.2991813,-7.4913524,1,19.320999145507812,0.11500900238752365,60261.41291669989
2,2460261.7779398,70.2992644,-7.4913531,2,19.204599380493164,0.10883700102567673,60261.27793980017
3,2460259.8980671,70.2991763,-7.4913499,1,19.095800399780273,0.11184799671173096,60259.39806709997
4,2460259.8657986,70.2992611,-7.4913349,2,19.055500030517578,0.10862600058317184,60259.36579860002
5,2460257.9686574,70.2991914,-7.4913097,1,18.966100692749023,0.1542070060968399,60257.46865739999
6,2460257.898206,70.2992741,-7.4913527,2,19.131000518798828,0.09607300162315369,60257.398206000216
7,2460253.9373148,70.2992322,-7.4913321,1,19.034799575805664,0.08383599668741226,60253.43731479999
8,2460253.8939005,70.2992567,-7.4913293,2,19.067899703979492,0.09680700302124023,60253.393900500145
9,2460251.9164352,70.2992765,-7.491377,2,19.241199493408203,0.11359500139951706,60251.41643519979
10,2460251.8574421,70.2992439,-7.4912935,1,19.176700592041016,0.13138599693775177,60251.35744210007
11,2460249.9197338,70.2992317,-7.4911832,2,19.18079948425293,0.263808012008667,60249.419733799994
12,2460249.8895949,70.2991891,-7.4914774,1,19.362899780273438,0.27294498682022095,60249.389594899956
