,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460262.7621875,33.4618803,23.9729665,2,20.071027755737305,0.116595059633255,60262.26218750002
1,2460262.7181944,33.4618106,23.9728854,1,20.407499313354492,0.19660499691963196,60262.21819439996
2,2460260.7361806,33.4618199,23.9729751,1,20.04800033569336,0.1600620001554489,60260.23618059978
3,2460260.7028241,33.4619536,23.9729479,2,20.060800552368164,0.1906290054321289,60260.20282409992
4,2460258.8236574,33.4618341,23.9728947,1,20.220199584960938,0.2238290011882782,60258.323657399975
5,2460258.7542477,33.4618574,23.9729508,2,19.884000778198242,0.15702299773693085,60258.254247699864
6,2460255.6977662,33.4618313,23.9729125,1,19.927900314331055,0.18717899918556213,60255.197766200174
7,2460253.7941204,33.4618553,23.9729401,2,19.77680015563965,0.11747299879789352,60253.29412040021
8,2460253.7223958,33.4618413,23.9729752,1,19.723600387573242,0.16514599323272705,60253.222395800054
9,2460251.716412,33.4618373,23.9729387,1,19.68280029296875,0.15813200175762177,60251.21641199989
10,2460251.672581,33.4618789,23.9730301,2,19.894699096679688,0.13887999951839447,60251.17258099979
11,2460249.8629051,33.4618845,23.9728927,1,19.50349998474121,0.23414300382137299,60249.36290509999
