,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460263.6816898,330.5014565,39.8265547,1,16.980527877807617,0.18771643936634064,60263.18168980023
1,2460263.6368403,330.5014136,39.8265476,2,17.096099853515625,0.028751999139785767,60263.13684030017
2,2460261.6788426,330.5014258,39.8265369,1,16.89389991760254,0.03415500000119209,60261.17884259997
3,2460261.6155093,330.5014047,39.826548,2,16.94849967956543,0.03135300055146217,60261.11550930003
4,2460259.6749074,330.5014149,39.826542,1,16.55150032043457,0.03787200152873993,60259.17490739981
5,2460259.6250694,330.5013934,39.8265462,2,16.652999877929688,0.029965000227093697,60259.12506939983
6,2460257.701794,330.5014163,39.8265159,1,16.166400909423828,0.02842400036752224,60257.20179399988
7,2460257.6810532,330.501408,39.8265393,2,16.285999298095703,0.026215000078082085,60257.181053199805
8,2460254.657338,330.501392,39.8265388,1,15.34850025177002,0.027710000053048134,60254.1573379999
9,2460254.6137269,330.5013939,39.8265473,2,15.557700157165527,0.033181000500917435,60254.11372689996
