,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460322.7770949,107.3608584,31.0277252,1,18.680561065673828,0.0861443281173706,60322.27709490014
1,2460322.7585648,107.3608331,31.0277256,2,18.8356990814209,0.12038899958133698,60322.258564800024
2,2460315.9117824,107.3608826,31.0277459,1,19.46380043029785,0.11949799954891205,60315.41178240022
3,2460315.7696528,107.3608975,31.0277262,2,19.409900665283203,0.10766900330781937,60315.26965280017
6,2460295.9616204,107.3608882,31.0278239,1,18.601200103759766,0.1540900021791458,60295.461620400194
7,2460295.8155903,107.3608357,31.0277373,2,18.604400634765625,0.09110099822282791,60295.31559030013
9,2460294.9680324,107.3608567,31.0277185,1,18.251300811767578,0.0755470022559166,60294.468032400124
10,2460294.93125,107.3608521,31.0277325,1,18.20479965209961,0.05975800007581711,60294.43124999991
11,2460294.8318403,107.3608497,31.0277427,1,18.20669937133789,0.05511099845170975,60294.3318403
12,2460294.0044792,107.3608824,31.0277494,1,18.052799224853516,0.042851001024246216,60293.50447920011
13,2460293.9471875,107.3608484,31.0277103,2,18.032499313354492,0.05838099867105484,60293.447187500075
14,2460293.8750926,107.3608545,31.0277387,1,18.00749969482422,0.04259299859404564,60293.37509260001
15,2460293.8332176,107.360877,31.0277495,1,18.0403995513916,0.03936599940061569,60293.333217599895
16,2460293.0287847,107.3608719,31.0277507,1,17.908199310302734,0.02944199927151203,60292.528784700204
17,2460292.9434491,107.3608632,31.0277405,1,17.77899932861328,0.03361999988555908,60292.443449100014
18,2460292.8757986,107.360865,31.0277178,2,17.854999542236328,0.038757000118494034,60292.375798599795
19,2460292.8311806,107.3608559,31.0277412,1,17.881200790405273,0.03202100098133087,60292.331180599984
20,2460290.9745023,107.3608623,31.0277545,1,17.57270050048828,0.040768999606370926,60290.47450229991
21,2460290.9216319,107.3608437,31.027772,2,17.6924991607666,0.1509229987859726,60290.42163190013
22,2460288.9638889,107.3608666,31.0277406,1,17.662500381469727,0.04816000163555145,60288.46388889989
23,2460288.9211574,107.360864,31.0277279,2,17.467899322509766,0.0534759983420372,60288.421157400124
