,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460434.8040856,181.8034653,56.7161772,1,19.682716369628906,0.12420263141393661,60434.30408560019
3,2460432.7834028,181.8034501,56.7162225,1,19.50160026550293,0.12592999637126923,60432.283402800094
5,2460430.7285301,181.8034462,56.7161855,1,19.280799865722656,0.10029900074005127,60430.22853010008
6,2460424.7997338,181.8034239,56.7161692,1,18.91230010986328,0.13835999369621277,60424.29973379988
8,2460422.7369097,181.8034257,56.7162042,1,18.71809959411621,0.08750999718904495,60422.23690970009
9,2460420.7863079,181.803371,56.7162331,1,18.661100387573242,0.10260000079870224,60420.28630790021
11,2460418.7829977,181.8034435,56.7161938,2,18.99970054626465,0.19250799715518951,60418.28299769992
12,2460418.7145255,181.8034247,56.7161996,1,18.704599380493164,0.0824270024895668,60418.21452549985
13,2460416.806088,181.8033816,56.7161647,1,18.720600128173828,0.1447339951992035,60416.30608800007
15,2460412.8241319,181.8034527,56.7161817,1,19.30769920349121,0.11240299791097641,60412.32413189998
16,2460408.7797569,181.803544,56.7162877,1,20.382200241088867,0.33518698811531067,60408.27975689992
