,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460438.7084144,162.4293091,33.078938,1,20.306577682495117,0.21360088884830475,60438.2084144
3,2460437.6786921,162.4293007,33.0788213,1,20.221799850463867,0.19573700428009033,60437.178692100104
5,2460434.7787616,162.429345,33.0788359,1,20.038299560546875,0.1656699925661087,60434.278761600144
7,2460432.7555556,162.4293745,33.0788487,1,19.872299194335938,0.14774799346923828,60432.25555559993
10,2460424.7651852,162.4293591,33.0788703,2,19.14259910583496,0.12465699762105942,60424.26518520014
11,2460422.7781481,162.4293882,33.078868,2,19.11370086669922,0.13230499625205994,60422.27814809978
12,2460422.7435764,162.429378,33.0788569,1,19.276100158691406,0.16569200158119202,60422.24357639998
13,2460420.7834838,162.4293705,33.0789393,1,19.438100814819336,0.2020680010318756,60420.28348380001
14,2460420.7572454,162.4293074,33.0789012,2,19.10569953918457,0.13853499293327332,60420.25724539999
16,2460418.7110995,162.4293494,33.0788549,1,19.2101993560791,0.13294699788093567,60418.21109949984
17,2460416.8007407,162.429412,33.0788602,1,19.334999084472656,0.14837400615215302,60416.300740700215
18,2460416.7133102,162.4294403,33.0789051,2,19.390600204467773,0.13798999786376953,60416.21331019979
19,2460412.8460417,162.4293676,33.078886,1,19.613800048828125,0.1141899973154068,60412.34604169987
20,2460407.778206,162.4293216,33.0788927,1,20.96649932861328,0.3307650089263916,60407.278206000105
