,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460463.8831597,289.1218039,61.4261379,2,20.01395606994629,0.15729008615016937,60463.38315969985
2,2460461.9299421,289.1220262,61.4261439,1,20.902000427246094,0.30864301323890686,60461.42994209984
3,2460461.9112616,289.1219983,61.4261443,2,19.7539005279541,0.11191999912261963,60461.41126159998
5,2460458.8656481,289.1220123,61.4261583,2,19.69420051574707,0.13660000264644623,60458.36564810015
6,2460455.8878356,289.1220486,61.4262116,2,19.53219985961914,0.18702800571918488,60455.38783559995
8,2460451.892662,289.1219767,61.4261764,2,19.308900833129883,0.13391800224781036,60451.39266199991
9,2460449.9342593,289.1219222,61.4261566,1,20.33049964904785,0.2123119980096817,60449.43425930012
10,2460449.8651157,289.1219671,61.4261139,2,19.14900016784668,0.10525500029325485,60449.365115699824
11,2460447.9042245,289.1219078,61.426147,1,20.03569984436035,0.15838399529457092,60447.40422450006
12,2460447.8699537,289.1219715,61.4261492,2,19.16990089416504,0.08306500315666199,60447.369953699876
13,2460445.844294,289.121981,61.4261253,2,19.141300201416016,0.09189900010824203,60445.34429399995
14,2460443.9274537,289.1219443,61.4261767,1,19.783000946044922,0.13358700275421143,60443.42745369999
15,2460443.886956,289.121917,61.4261698,2,19.13789939880371,0.09925899654626846,60443.38695599977
16,2460441.9460995,289.1220033,61.4261613,1,19.50029945373535,0.110944002866745,60441.44609950017
17,2460441.9011343,289.1220373,61.4261498,2,18.88010025024414,0.11645200103521347,60441.401134300046
18,2460438.9677662,289.1220071,61.4261713,3,19.44420051574707,0.14893700182437897,60438.46776620019
19,2460438.9435764,289.1219327,61.4261439,1,19.279699325561523,0.08660399913787842,60438.44357640017
20,2460438.9090741,289.1219788,61.4261525,2,18.805400848388672,0.07715000212192535,60438.4090741002
21,2460437.9715509,289.121979,61.4261672,1,19.167999267578125,0.08553799986839294,60437.47155090002
22,2460437.9120486,289.1219903,61.4261516,2,18.82390022277832,0.07748199999332428,60437.41204860015
23,2460437.866956,289.1219996,61.4261815,3,19.20400047302246,0.13548099994659424,60437.366956000216
24,2460436.9863079,289.1220899,61.4261479,3,19.34830093383789,0.1335739940404892,60436.48630789993
25,2460436.9553588,289.1220013,61.4261201,2,18.778499603271484,0.08234299719333649,60436.45535880001
26,2460436.9266204,289.1219125,61.4261507,1,19.07110023498535,0.12856699526309967,60436.426620400045
27,2460434.9718403,289.1220156,61.4261483,2,18.733200073242188,0.06641600281000137,60434.47184030013
28,2460434.9438773,289.1218684,61.4261471,1,18.994600296020508,0.09025599807500839,60434.44387729978
29,2460432.9749537,289.1219852,61.4261482,2,18.731199264526367,0.06968799978494644,60432.47495369986
30,2460432.9323148,289.1219527,61.4261679,1,18.85409927368164,0.0896259993314743,60432.4323148001
31,2460429.9786806,289.1220746,61.4261495,1,18.694700241088867,0.0825980007648468,60429.47868059995
32,2460429.8837037,289.1219981,61.4261461,2,18.696399688720703,0.07915099710226059,60429.3837036998
33,2460423.9476505,289.1219739,61.426157,2,18.759599685668945,0.09347199648618698,60423.44765050011
34,2460423.8584838,289.1220648,61.4261618,1,18.667999267578125,0.14332500100135803,60423.3584838002
36,2460421.9278935,289.1220432,61.4261591,2,18.946199417114258,0.11370299756526947,60421.427893499844
37,2460418.9431366,289.121925,61.4261956,1,18.965900421142578,0.19980399310588837,60418.443136599846
38,2460418.8661921,289.1219481,61.4261144,2,19.11750030517578,0.12343499809503555,60418.366192100104
