,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460461.7897338,210.673121,10.7681916,2,20.428680419921875,0.19657903909683228,60461.289733800106
2,2460459.8583333,210.6731309,10.7681485,2,20.2406005859375,0.25542399287223816,60459.35833329987
3,2460459.7333102,210.67306,10.7681763,1,20.713499069213867,0.2495039999485016,60459.23331019981
5,2460457.7529514,210.6731635,10.7681795,1,20.238300323486328,0.20462100207805634,60457.25295139989
10,2460449.8194676,210.6730082,10.7680708,2,19.87809944152832,0.25189900398254395,60449.31946759997
11,2460449.774294,210.6731791,10.7682145,1,19.973899841308594,0.2963019907474518,60449.27429400012
12,2460447.8395023,210.67315,10.7682116,2,19.669200897216797,0.1609179973602295,60447.339502300136
13,2460447.7915972,210.6730738,10.7681937,1,19.796300888061523,0.19666500389575958,60447.29159720009
14,2460445.7983912,210.6731,10.768114,1,19.71820068359375,0.14130799472332,60445.29839120014
16,2460443.8054051,210.6731324,10.7681858,1,19.744800567626953,0.13204999268054962,60443.305405099876
17,2460443.7346644,210.6731364,10.7681892,2,19.875200271606445,0.16951799392700195,60443.23466440011
18,2460441.8108333,210.6731077,10.76815,1,19.81130027770996,0.2081490010023117,60441.3108333
20,2460439.8307407,210.673235,10.7681647,1,20.121200561523438,0.17229999601840973,60439.33074070001
21,2460439.7731829,210.6731247,10.768166,2,20.27910041809082,0.1919649988412857,60439.27318290016
22,2460438.8160995,210.6731701,10.768229,1,20.20949935913086,0.16336199641227722,60438.31609949982
24,2460438.7478241,210.6732259,10.7682501,2,20.010799407958984,0.21960100531578064,60438.247824099846
26,2460437.8124884,210.6731939,10.7681621,1,20.441699981689453,0.22140200436115265,60437.31248839991
27,2460437.7550694,210.6731382,10.7682059,2,20.187400817871094,0.24966199696063995,60437.255069400184
