,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460511.8032523,228.7045598,66.6858882,2,19.779380798339844,0.2074008285999298,60511.30325229978
3,2460509.7623264,228.7044213,66.6859278,2,19.640600204467773,0.19626599550247192,60509.262326399796
4,2460507.7771065,228.7045572,66.6859112,2,19.6343994140625,0.1963379979133606,60507.27710650023
6,2460504.8230093,228.7043243,66.6860114,1,20.408100128173828,0.299811989068985,60504.323009300046
7,2460504.7833681,228.7045335,66.6859345,2,19.582799911499023,0.17373700439929962,60504.28336809995
8,2460502.8510764,228.7044916,66.6859062,2,19.364500045776367,0.13244199752807617,60502.35107639991
10,2460500.8031597,228.7045942,66.6858544,2,19.31130027770996,0.11280299723148346,60500.303159699775
12,2460494.7810995,228.704576,66.685799,1,19.994199752807617,0.22551800310611725,60494.281099500135
13,2460490.8317361,228.7043169,66.6858468,1,19.57229995727539,0.1401059925556183,60490.331736099906
15,2460490.7797917,228.7045421,66.6858849,2,18.872699737548828,0.08839400112628937,60490.27979170019
18,2460488.7443287,228.704645,66.6859091,1,19.488100051879883,0.11147899925708771,60488.244328700006
19,2460485.8455324,228.7045682,66.6858729,2,18.779300689697266,0.09041599929332733,60485.34553240007
20,2460485.7149653,228.7045161,66.6859243,1,19.315900802612305,0.1121399998664856,60485.21496530017
21,2460483.8897685,228.7045443,66.6858991,1,19.013999938964844,0.18427500128746033,60483.38976849988
22,2460483.7617824,228.7045082,66.6859015,2,18.878799438476562,0.0920720025897026,60483.261782399844
23,2460481.7846644,228.7044939,66.6858678,2,18.886899948120117,0.09938500076532364,60481.28466439992
24,2460481.7846644,228.7044951,66.6858699,2,18.887500762939453,0.09964299947023392,60481.28466439992
25,2460481.7647917,228.7044717,66.6859085,1,19.153400421142578,0.11514999717473984,60481.26479170006
26,2460481.7647917,228.7044722,66.685913,1,19.153400421142578,0.11429700255393982,60481.26479170006
27,2460479.8885417,228.7045227,66.6858312,1,19.111600875854492,0.12106700241565704,60479.38854169985
28,2460479.8265509,228.7044722,66.6858932,2,18.825199127197266,0.08643899857997894,60479.326550900005
29,2460476.8718403,228.7044531,66.6858927,1,19.187700271606445,0.1059039980173111,60476.37184030004
30,2460476.7865509,228.7045024,66.6858868,2,18.988300323486328,0.0807029977440834,60476.28655089997
31,2460473.8703241,228.7044916,66.6858875,2,19.105300903320312,0.08749900013208389,60473.3703240999
32,2460473.8492361,228.7044762,66.6859033,1,19.164899826049805,0.09966299682855606,60473.34923609998
