,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460489.8161806,236.2988849,-5.0332634,2,19.438617706298828,0.14158210158348083,60489.31618059985
1,2460489.7333912,236.2989604,-5.0332433,1,19.46579933166504,0.11678999662399292,60489.23339120019
2,2460487.8161111,236.2990312,-5.033323,2,19.314599990844727,0.144336998462677,60487.316111099906
3,2460487.7342245,236.2989831,-5.0332359,1,19.726299285888672,0.13435399532318115,60487.234224500135
5,2460484.6896528,236.2989753,-5.0332874,1,19.522600173950195,0.12651799619197845,60484.189652800094
9,2460480.7485417,236.298943,-5.0332886,1,19.270700454711914,0.19716300070285797,60480.24854170019
11,2460477.7618171,236.2989477,-5.0333174,1,19.713699340820312,0.20841899514198303,60477.26181709999
13,2460475.7175579,236.2990183,-5.0333499,1,19.810100555419922,0.19295400381088257,60475.21755790012
14,2460473.8156481,236.2989437,-5.033347,1,19.87969970703125,0.13012799620628357,60473.31564809987
15,2460473.7508218,236.299087,-5.0333725,2,20.130800247192383,0.2412090003490448,60473.25082179997
