,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460524.7030903,233.3310053,38.5225133,1,20.064136505126953,0.1670101135969162,60524.20309029985
1,2460520.7503704,233.3310323,38.522475,2,19.473600387573242,0.1569570004940033,60520.25037040003
2,2460520.7010648,233.3309952,38.5224994,1,19.777799606323242,0.1231359988451004,60520.20106479991
4,2460518.7242824,233.3310109,38.5224984,1,19.69540023803711,0.12534299492835999,60518.22428240022
6,2460516.6981597,233.3310487,38.5225316,1,19.69230079650879,0.14404499530792236,60516.198159699794
7,2460514.7854977,233.3309947,38.5225067,2,19.371200561523438,0.21355199813842773,60514.285497699864
8,2460514.6840046,233.3310333,38.5225108,1,19.38319969177246,0.12604400515556335,60514.18400460016
9,2460512.7642593,233.3310223,38.5225164,2,19.30780029296875,0.16041800379753113,60512.264259300195
10,2460512.7015972,233.3310541,38.5225317,1,19.496400833129883,0.17739099264144897,60512.201597199775
11,2460510.7564699,233.3310117,38.5224943,2,19.208900451660156,0.1022609993815422,60510.25646989979
12,2460510.7428935,233.3310384,38.5224944,1,19.256000518798828,0.12362200021743774,60510.24289349979
13,2460508.7874074,233.3310279,38.5224403,2,19.224199295043945,0.14165599644184113,60508.28740740009
15,2460506.7381134,233.3310177,38.5225422,2,19.361600875854492,0.12620699405670166,60506.23811340006
16,2460504.8088194,233.3310632,38.5224922,1,19.45479965209961,0.11694899946451187,60504.30881940015
18,2460502.8271065,233.330948,38.5225344,2,19.650699615478516,0.14557300508022308,60502.327106500044
19,2460502.7789236,233.3310429,38.5224958,1,19.646499633789062,0.15426699817180634,60502.27892359998
21,2460500.7174306,233.3310375,38.5225271,1,19.791400909423828,0.15294699370861053,60500.217430599965
22,2460498.6979514,233.3310413,38.52254,1,20.077199935913086,0.1477230042219162,60498.19795140019
