,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460509.7854051,277.0663075,82.9215138,2,19.80800437927246,0.21516790986061096,60509.28540509986
1,2460508.7848843,277.0656632,82.9215382,2,19.638399124145508,0.1609400063753128,60508.28488430008
3,2460507.7737153,277.0659084,82.9216158,2,19.8351993560791,0.20063400268554688,60507.27371530002
5,2460505.8268287,277.0660471,82.9216353,1,20.148500442504883,0.2061150074005127,60505.326828700025
6,2460504.8738657,277.0658564,82.9215785,2,19.742599487304688,0.13006600737571716,60504.37386569986
8,2460503.8856944,277.0663517,82.921652,2,19.930700302124023,0.24383200705051422,60503.38569439994
9,2460503.8439699,277.064431,82.9216367,1,19.809200286865234,0.24341300129890442,60503.34396990016
10,2460502.9058796,277.0654639,82.9216011,1,20.143199920654297,0.2745940089225769,60502.40587959997
11,2460502.8534491,277.0658103,82.9215817,2,19.913999557495117,0.16301299631595612,60502.35344910016
12,2460501.8934375,277.0662093,82.9216552,1,19.851200103759766,0.15330000221729279,60501.39343750011
13,2460501.824456,277.0656156,82.9215431,2,19.940500259399414,0.1617259979248047,60501.32445599977
14,2460500.8823727,277.0662078,82.9215835,2,19.856800079345703,0.1268550008535385,60500.38237270014
15,2460500.8434375,277.0663442,82.9215654,1,19.992700576782227,0.1516129970550537,60500.34343749983
17,2460499.8045255,277.065876,82.9216076,2,19.99850082397461,0.1995290070772171,60499.30452550016
