,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460543.9568981,23.2999438,-6.400983,2,19.29624366760254,0.19960181415081024,60543.45689810021
2,2460539.899838,23.299931,-6.4009749,1,19.978500366210938,0.2203570008277893,60539.39983800007
3,2460539.8635648,23.3000512,-6.4009997,2,19.236799240112305,0.1751590073108673,60539.363564800005
4,2460536.9372801,23.3000582,-6.4009849,1,19.690000534057617,0.13530099391937256,60536.43728009984
5,2460534.9571644,23.3000594,-6.4009796,1,19.600299835205078,0.1047929972410202,60534.45716439979
10,2460530.8823495,23.2999824,-6.4009875,1,19.195600509643555,0.10691600292921066,60530.38234949997
13,2460525.942581,23.3000569,-6.4009688,1,18.905500411987305,0.09853500127792358,60525.44258099981
15,2460521.9779861,23.3000126,-6.400995,1,18.5851993560791,0.08584500104188919,60521.47798610013
16,2460521.9378241,23.2999917,-6.4009997,2,18.62190055847168,0.0880030021071434,60521.43782409979
17,2460518.9746412,23.3000415,-6.4010401,2,18.582500457763672,0.08520299941301346,60518.474641200155
18,2460518.944537,23.3000376,-6.4010179,1,18.62339973449707,0.10879600048065186,60518.4445369998
21,2460513.9717014,23.3000137,-6.4009905,2,18.793100357055664,0.11109299957752228,60513.47170139989
22,2460513.9249306,23.3000497,-6.4010216,1,18.52829933166504,0.1514430046081543,60513.424930599984
23,2460509.9441435,23.3000596,-6.4009521,1,18.956100463867188,0.11024300009012222,60509.44414350018
