,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460537.8281713,323.4694094,-22.7461191,2,19.336933135986328,0.13403943181037903,60537.32817129977
1,2460531.8569907,323.4694291,-22.7460694,2,19.13310432434082,0.11214689910411835,60531.35699070012
2,2460531.8569907,323.4694291,-22.7460694,2,19.133100509643555,0.1121470034122467,60531.35699070012
3,2460531.8139815,323.4694089,-22.7461488,1,19.341400146484375,0.1321599930524826,60531.31398149999
4,2460529.8151273,323.4694378,-22.7461565,1,19.243600845336914,0.13155999779701233,60529.3151273001
5,2460527.8562269,323.4694202,-22.7461542,2,18.704700469970703,0.08575800061225891,60527.35622690013
6,2460527.8132292,323.4694562,-22.7460902,1,19.022199630737305,0.11299499869346619,60527.313229199965
7,2460525.8980903,323.4694405,-22.7461106,2,18.676599502563477,0.08997800201177597,60525.39809030015
8,2460521.8988542,323.4694338,-22.7461538,2,18.519800186157227,0.07821899652481079,60521.3988541998
9,2460518.9149653,323.4694218,-22.7461676,1,18.622800827026367,0.09414300322532654,60518.41496529989
10,2460518.8359838,323.4694008,-22.746125,2,18.616500854492188,0.0957069993019104,60518.33598379977
11,2460515.8984144,323.4695432,-22.7461,2,18.60540008544922,0.1865829974412918,60515.39841439994
12,2460515.8584259,323.4694876,-22.7461775,1,18.87779998779297,0.2330780029296875,60515.358425899874
13,2460509.9905556,323.4694108,-22.7459862,2,19.344600677490234,0.18980300426483154,60509.4905555998
