,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460533.7230556,237.8117223,28.7177057,1,19.835834503173828,0.10555543005466461,60533.22305560019
1,2460533.6809606,237.8117828,28.7176355,2,19.566999435424805,0.23576299846172333,60533.1809605998
2,2460532.7254861,237.8117062,28.7176297,1,19.982500076293945,0.12696699798107147,60532.225486100186
4,2460530.7460764,237.8117143,28.7176251,2,19.558399200439453,0.1574299931526184,60530.246076399926
5,2460530.6964352,237.8117246,28.7176624,1,19.725500106811523,0.12894900143146515,60530.19643520005
6,2460528.7673611,237.8117078,28.7176879,2,19.71820068359375,0.2792859971523285,60528.26736109983
7,2460528.7259606,237.8116964,28.7176002,1,19.408599853515625,0.20025399327278137,60528.22596060019
9,2460526.7441667,237.8117098,28.7176579,2,19.378599166870117,0.11517400294542313,60526.24416670017
10,2460524.7375926,237.8117208,28.7176564,2,19.508100509643555,0.11012300103902817,60524.23759259982
11,2460524.7050694,237.8117176,28.7176924,1,19.50790023803711,0.15087799727916718,60524.205069399904
12,2460520.7660764,237.8117108,28.717633,2,19.643600463867188,0.1331299990415573,60520.266076399945
13,2460520.6962269,237.8117316,28.7176164,1,19.496599197387695,0.12020500004291534,60520.19622689998
14,2460518.7784838,237.8116981,28.7176231,2,19.580400466918945,0.1394370049238205,60518.278483800124
15,2460518.7227662,237.8117445,28.7176499,1,19.687000274658203,0.11826600134372711,60518.22276620008
16,2460516.7192014,237.8116533,28.7176023,2,19.908899307250977,0.19766299426555634,60516.219201399945
