,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460576.6735648,280.228223,38.2909271,2,19.595827102661133,0.15363386273384094,60576.17356480006
1,2460576.6554051,280.2281932,38.290904,3,19.234399795532227,0.11183200031518936,60576.15540509997
6,2460571.695706,280.2281803,38.2909114,2,19.197399139404297,0.1674170047044754,60571.195706000086
9,2460568.6830324,280.2281995,38.2909106,2,18.999500274658203,0.13076899945735931,60568.183032399975
10,2460566.6852894,280.2282413,38.2909142,2,18.90679931640625,0.09210299700498581,60566.185289400164
11,2460566.6529977,280.2281825,38.2909355,1,20.306499481201172,0.2887449860572815,60566.15299770003
13,2460561.7605556,280.2281724,38.2909132,1,19.765199661254883,0.19699600338935852,60561.260555599816
14,2460561.7605556,280.2281724,38.2909132,1,19.765199661254883,0.19699600338935852,60561.260555599816
15,2460561.6941782,280.228174,38.2909022,2,18.781299591064453,0.10249000042676926,60561.19417819986
16,2460559.700706,280.2282187,38.2908927,2,18.703100204467773,0.08609200268983841,60559.200705999974
17,2460557.7175116,280.2282052,38.290897,2,18.724899291992188,0.08162499964237213,60557.21751159988
18,2460557.7022338,280.2281721,38.2909203,1,19.3843994140625,0.1329440027475357,60557.2022338002
19,2460555.7140394,280.2281737,38.2909011,1,19.14349937438965,0.09554199874401093,60555.21403940022
20,2460555.6739352,280.2282135,38.2908985,2,18.665599822998047,0.08438999950885773,60555.17393520009
21,2460553.747581,280.2282067,38.2909125,2,18.578100204467773,0.08981399983167648,60553.247580999974
22,2460553.7026852,280.2281887,38.2909209,1,18.975299835205078,0.09286099672317505,60553.20268520014
23,2460551.7843287,280.2281833,38.2909096,1,18.843700408935547,0.10767199844121933,60551.28432870004
24,2460551.7209375,280.2281821,38.2909204,2,18.450599670410156,0.06425800174474716,60551.22093749978
25,2460549.7872801,280.228204,38.2908899,1,18.657400131225586,0.0839959979057312,60549.28728009993
26,2460549.7052431,280.2281976,38.290899,2,18.3075008392334,0.06115400046110153,60549.20524309995
27,2460547.7858681,280.2281915,38.2908962,1,18.54129981994629,0.06706900149583817,60547.28586809989
28,2460547.7216782,280.2281911,38.2908992,2,18.220199584960938,0.06731999665498734,60547.22167820018
29,2460545.7622801,280.2281883,38.2908963,2,18.036100387573242,0.055397000163793564,60545.262280100025
30,2460545.7260764,280.2282043,38.2908956,1,18.399700164794922,0.08703400194644928,60545.22607639991
31,2460543.8272106,280.2281821,38.2909071,1,18.273000717163086,0.06865300238132477,60543.32721060002
32,2460539.8085764,280.2282062,38.2909112,2,17.942800521850586,0.05846799910068512,60539.308576399926
33,2460537.8169907,280.2281964,38.2908918,1,18.14229965209961,0.06007299944758415,60537.316990700085
34,2460537.7189815,280.2282023,38.290903,2,17.947599411010742,0.04833099991083145,60537.218981499784
35,2460537.7189815,280.2282023,38.290903,2,17.947599411010742,0.04833099991083145,60537.218981499784
36,2460535.806412,280.2282018,38.2909153,1,18.135208129882812,0.05828893557190895,60535.30641200021
37,2460535.806412,280.2282018,38.2909153,1,18.13520050048828,0.058288998901844025,60535.30641200021
38,2460535.7811111,280.2281894,38.2909027,2,18.029300689697266,0.05686499923467636,60535.28111110022
39,2460530.7821528,280.2281786,38.2908979,1,18.491899490356445,0.07505299896001816,60530.28215279989
40,2460530.7432523,280.2281843,38.2908894,2,18.35565185546875,0.05654951557517052,60530.24325230019
41,2460530.7432523,280.2281829,38.2908928,2,18.372800827026367,0.05925200134515762,60530.24325230019
42,2460528.8011111,280.2281777,38.2909031,1,18.834400177001953,0.08232200145721436,60528.301111099776
43,2460528.8011111,280.2281777,38.2909031,1,18.834400177001953,0.08232200145721436,60528.301111099776
44,2460528.7547801,280.2282113,38.2909136,2,18.721200942993164,0.07213100045919418,60528.25478010019
45,2460526.8111227,280.2281778,38.2908822,1,19.346799850463867,0.09685300290584564,60526.311122700106
46,2460526.785081,280.2281729,38.290904,2,19.221500396728516,0.08245600014925003,60526.28508100007
47,2460526.785081,280.2281729,38.290904,2,19.221500396728516,0.08245600014925003,60526.28508100007
48,2460526.785081,280.2281729,38.290904,2,19.221500396728516,0.08245600014925003,60526.28508100007
49,2460524.8221296,280.2281458,38.2909063,1,20.178699493408203,0.20968399941921234,60524.322129600216
