,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460606.6377894,248.075573,49.8488837,2,19.43633460998535,0.15612906217575073,60606.13778939983
1,2460606.6188657,248.0755761,49.8489766,1,19.774099349975586,0.19472099840641022,60606.11886569997
3,2460603.657419,248.0755193,49.8488637,2,19.2268009185791,0.13977600634098053,60603.15741899982
4,2460603.6363194,248.0755376,49.8489683,1,19.661100387573242,0.29787400364875793,60603.13631939981
5,2460603.6353819,248.0754861,49.8488807,1,19.65920066833496,0.21097999811172485,60603.135381899774
6,2460599.656713,248.0754365,49.8489162,2,19.184099197387695,0.17968900501728058,60599.15671300003
7,2460599.6375116,248.0755069,49.848913,2,19.36639976501465,0.23792000114917755,60599.13751159981
9,2460597.6594792,248.0754898,49.8489451,1,19.482099533081055,0.17538000643253326,60597.15947919991
10,2460597.6152315,248.0755024,49.8489172,2,19.278200149536133,0.09849700331687927,60597.11523150001
11,2460597.612419,248.0754976,49.8489049,2,19.162799835205078,0.1302029937505722,60597.112418999895
13,2460595.6574769,248.0756255,49.8488252,2,19.135900497436523,0.14371800422668457,60595.157476900145
15,2460595.6164931,248.0758516,49.8487533,1,19.277299880981445,0.22815099358558655,60595.116493099835
16,2460576.6835301,248.0754798,49.8489336,2,18.971500396728516,0.12715500593185425,60576.183530100156
17,2460576.6792245,248.075526,49.8489016,2,18.957199096679688,0.1279660016298294,60576.17922449997
18,2460576.6640741,248.0755143,49.8489043,3,19.042600631713867,0.12670700252056122,60576.16407410009
19,2460576.6640741,248.0755143,49.8489043,3,19.042600631713867,0.12670700252056122,60576.16407410009
21,2460576.6347338,248.0754776,49.8489287,1,18.909799575805664,0.13400599360466003,60576.134733799845
22,2460576.6326968,248.0754857,49.8489257,1,18.965700149536133,0.09839499741792679,60576.132696799934
24,2460575.7173843,248.0754797,49.8489114,3,19.002399444580078,0.15609900653362274,60575.217384300195
25,2460575.6820023,248.0755079,49.8489084,2,19.001699447631836,0.1186790019273758,60575.18200229993
26,2460575.6810532,248.0755027,49.8488858,2,18.802799224853516,0.0848890021443367,60575.181053199805
27,2460575.6403009,248.075506,49.8489246,1,19.013700485229492,0.12059299647808075,60575.14030090021
28,2460575.6369676,248.0754553,49.8489172,1,19.038999557495117,0.11874700337648392,60575.13696759986
30,2460572.6393981,248.0755767,49.8489009,1,18.977699279785156,0.18187899887561798,60572.139398099855
32,2460571.6387384,248.0754555,49.8488962,1,18.865400314331055,0.14455799758434296,60571.13873839984
33,2460571.6387384,248.0754555,49.8488962,1,18.865400314331055,0.14455799758434296,60571.13873839984
34,2460569.679537,248.0754847,49.8489099,2,18.864299774169922,0.12217199802398682,60569.179537000135
35,2460568.6951736,248.075467,49.8489252,2,18.966100692749023,0.1101439967751503,60568.19517360022
36,2460568.6584606,248.0754923,49.8489277,1,18.91320037841797,0.0987280011177063,60568.158460599836
37,2460567.7375116,248.0754388,49.8489321,1,18.756999969482422,0.13966000080108643,60567.2375115999
38,2460567.6766898,248.0754275,49.8489436,2,18.852699279785156,0.08407700061798096,60567.176689799875
39,2460566.6805324,248.0754878,49.848906,2,19.01609992980957,0.09959500283002853,60566.18053240003
40,2460566.6567708,248.0754816,49.8489159,1,18.946500778198242,0.13490399718284607,60566.156770799775
41,2460565.7612731,248.0755184,49.8489334,2,18.827600479125977,0.11122599989175797,60565.26127310004
42,2460565.7207292,248.0754723,49.8489143,1,18.811599731445312,0.09975600242614746,60565.22072920017
43,2460565.7207292,248.0754723,49.8489143,1,18.811599731445312,0.09975600242614746,60565.22072920017
45,2460561.7423264,248.0754946,49.8488708,1,18.872600555419922,0.11007200181484222,60561.24232639978
46,2460561.6994213,248.0754229,49.8489215,2,18.935100555419922,0.09281200170516968,60561.19942130009
47,2460561.6965741,248.075484,49.8489134,2,19.15559959411621,0.11194299906492233,60561.19657409983
48,2460561.6965741,248.075484,49.8489134,2,19.15559959411621,0.11194299906492233,60561.19657409983
49,2460561.6662384,248.0755186,49.8489314,1,18.834699630737305,0.11862199753522873,60561.166238400154
50,2460558.6959259,248.0755024,49.8488792,2,19.054000854492188,0.10120200365781784,60558.19592589978
51,2460558.6954514,248.0755287,49.8489133,2,19.04840087890625,0.11236699670553207,60558.19545139978
52,2460558.6583218,248.0755103,49.8489283,1,18.860599517822266,0.11285699903964996,60558.158321800176
54,2460556.717037,248.075501,49.8489121,1,18.98889923095703,0.1121399998664856,60556.21703700023
55,2460556.7004282,248.0755084,49.8488993,1,18.900800704956055,0.09539899975061417,60556.200428199954
56,2460556.659838,248.0754949,49.8488977,2,19.153400421142578,0.12225300073623657,60556.15983799985
57,2460556.6457523,248.0755001,49.8489352,2,18.988300323486328,0.10540600121021271,60556.14575230004
58,2460554.7339931,248.0755114,49.8489125,1,18.97249984741211,0.09872400015592575,60554.2339931
59,2460554.7213657,248.0755306,49.848929,1,18.946699142456055,0.1227630004286766,60554.22136570001
60,2460554.6862269,248.0755157,49.8489259,2,19.16360092163086,0.09233800321817398,60554.1862269002
61,2460554.6857523,248.0754643,49.8488877,2,19.220600128173828,0.14031299948692322,60554.18575230008
62,2460551.7253704,248.0754381,49.8488503,2,19.34280014038086,0.13121600449085236,60551.22537040012
65,2460550.6748032,248.0755317,49.8489539,1,19.181400299072266,0.11373099684715271,60550.17480320018
67,2460549.6628472,248.0755167,49.8488958,1,19.225299835205078,0.12290800362825394,60549.16284719994
68,2460548.7001968,248.075524,49.8489052,2,19.47336769104004,0.13432547450065613,60548.20019679982
69,2460548.7001968,248.075524,49.8489052,2,19.473400115966797,0.13432499766349792,60548.20019679982
70,2460548.7001968,248.075524,49.8489052,2,19.473400115966797,0.13432499766349792,60548.20019679982
72,2460548.6621759,248.0755379,49.8489368,1,19.276399612426758,0.11199299991130829,60548.16217589984
73,2460548.6621759,248.0755379,49.8489368,1,19.276399612426758,0.11199299991130829,60548.16217589984
74,2460548.6621759,248.0755379,49.8489368,1,19.276399612426758,0.11199299991130829,60548.16217589984
77,2460547.6842014,248.0754686,49.8488732,1,19.40290069580078,0.14015600085258484,60547.184201399796
78,2460546.7227083,248.0754868,49.8488898,2,19.729000091552734,0.1945679932832718,60546.22270830022
79,2460546.6653472,248.0755326,49.8489266,1,19.42530059814453,0.13790200650691986,60546.16534719989
80,2460545.7835648,248.0754539,49.8489434,2,19.76729965209961,0.29256299138069153,60545.28356479993
81,2460545.6980093,248.0755191,49.8489144,1,19.487300872802734,0.15331099927425385,60545.198009300046
83,2460544.7030093,248.0754792,49.8489407,1,19.54669952392578,0.17184899747371674,60544.203009299934
85,2460543.7065394,248.0754042,49.8489084,2,19.844900131225586,0.21517600119113922,60543.20653939992
87,2460540.7640394,248.0755339,49.8488871,2,19.894399642944336,0.23198899626731873,60540.264039400034
