,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460606.7947685,22.7880972,21.0327483,2,20.07248306274414,0.1884605437517166,60606.29476850014
2,2460604.9158912,22.7880504,21.0327308,2,19.983999252319336,0.19097399711608887,60604.41589119984
6,2460598.8175231,22.7881267,21.0327818,2,19.72909927368164,0.2660149931907654,60598.31752309995
8,2460596.8723958,22.7881393,21.0327033,2,19.69700050354004,0.12002299726009369,60596.37239579996
10,2460593.8805324,22.7881603,21.0327444,2,19.558300018310547,0.10415899753570557,60593.38053240022
11,2460593.8306366,22.7880622,21.0325951,1,20.602800369262695,0.2563439905643463,60593.33063660003
12,2460583.9638542,22.788111,21.0327305,1,19.579099655151367,0.13784800469875336,60583.46385420021
13,2460583.9035648,22.7881135,21.0327229,2,19.087299346923828,0.08822199702262878,60583.40356480004
14,2460581.0052199,22.7881016,21.032716,1,19.34480094909668,0.11587300151586533,60580.50521990005
15,2460580.9311574,22.7881142,21.0327531,2,19.08609962463379,0.07952400296926498,60580.4311573999
16,2460578.870544,22.7881179,21.0327298,2,18.99839973449707,0.07796899974346161,60578.37054400006
17,2460578.8204514,22.7881134,21.0327221,1,19.193700790405273,0.10527899861335754,60578.32045139978
18,2460577.9232639,22.7881395,21.0327516,2,18.904800415039062,0.06947900354862213,60577.42326389998
19,2460577.9232639,22.7881395,21.0327516,2,18.904800415039062,0.06947900354862213,60577.42326389998
20,2460577.8608102,22.7881112,21.0326855,1,19.06760025024414,0.11079400032758713,60577.36081020022
21,2460577.8297917,22.7881237,21.0327938,3,19.49679946899414,0.18041899800300598,60577.3297917
22,2460576.9637616,22.7881658,21.0326886,3,19.413400650024414,0.138031005859375,60576.4637616002
23,2460576.9024421,22.7881293,21.0327338,2,18.909799575805664,0.0822020024061203,60576.40244209999
24,2460576.8401042,22.7881501,21.0327129,1,18.932600021362305,0.12207099795341492,60576.340104199946
25,2460575.9012963,22.7881108,21.0326804,1,18.96299934387207,0.11850299686193466,60575.40129629988
26,2460575.893669,22.7880722,21.0326691,3,19.55229949951172,0.2303140014410019,60575.393668999895
27,2460575.8630903,22.7881558,21.0327405,2,18.805299758911133,0.09290599822998047,60575.3630903
28,2460571.9227894,22.7881551,21.032721,2,18.488399505615234,0.0870010033249855,60571.42278939998
29,2460571.8435417,22.7881345,21.0327145,1,18.503599166870117,0.14198899269104004,60571.34354169993
30,2460568.9228125,22.7881343,21.0327184,1,18.499799728393555,0.08335399627685547,60568.42281250004
31,2460568.8707639,22.788134,21.0327264,2,18.606399536132812,0.09424199908971786,60568.370763900224
32,2460565.868912,22.7881193,21.0327353,2,18.632699966430664,0.0643870010972023,60565.36891200021
33,2460565.8391088,22.7881195,21.0327241,1,18.511899948120117,0.06880699843168259,60565.33910880005
34,2460562.900706,22.7881359,21.0327243,2,18.675899505615234,0.0695360004901886,60562.40070600016
35,2460562.8167361,22.7881374,21.0327143,1,18.5393009185791,0.07405400276184082,60562.316736099776
37,2460558.9147569,22.7881191,21.0327341,1,18.787799835205078,0.07712899893522263,60558.414756900165
38,2460556.9195023,22.7881172,21.0327379,1,19.02899932861328,0.09119299799203873,60556.41950230021
39,2460556.8689583,22.7881473,21.0327334,2,19.083499908447266,0.10027799755334854,60556.36895829998
40,2460554.915787,22.7881041,21.0327174,2,19.40019989013672,0.08845099806785583,60554.41578700021
41,2460554.8376852,22.788115,21.0327251,1,19.347999572753906,0.09504900127649307,60554.33768519992
42,2460551.9243287,22.7880842,21.0326981,1,20.003799438476562,0.15656399726867676,60551.424328700174
43,2460551.9016782,22.7881611,21.0327173,2,20.004600524902344,0.1250319927930832,60551.40167819988
44,2460549.9237616,22.7881159,21.0327349,1,20.438800811767578,0.216389000415802,60549.42376160016
