,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460594.6892477,325.1364498,-3.0874356,2,19.449373245239258,0.11758729070425034,60594.18924769992
1,2460592.6876852,325.1363935,-3.0874517,1,20.552400588989258,0.20941300690174103,60592.18768520001
2,2460592.6483796,325.1364366,-3.0874163,2,19.786800384521484,0.14335300028324127,60592.14837960014
3,2460580.6545023,325.1364247,-3.0874111,2,19.165800094604492,0.12060199677944183,60580.15450230008
4,2460578.7321644,325.1364453,-3.087391,1,19.253999710083008,0.08830799907445908,60578.232164400164
5,2460578.7136227,325.1364148,-3.0874231,2,19.089000701904297,0.08492100238800049,60578.21362269996
7,2460576.8053356,325.1364148,-3.087425,3,19.677000045776367,0.20558799803256989,60576.30533559993
8,2460576.7534722,325.1364337,-3.0873889,1,19.238500595092773,0.11395400017499924,60576.25347220013
9,2460576.7042014,325.1364298,-3.0873975,2,19.014299392700195,0.08407799899578094,60576.204201399814
10,2460575.7837153,325.1364108,-3.0873955,1,19.165300369262695,0.10324300080537796,60575.283715299796
11,2460575.7688542,325.1364599,-3.0874337,3,19.479999542236328,0.17427100241184235,60575.26885419991
12,2460575.6931713,325.1364222,-3.0874092,2,18.933900833129883,0.07595600187778473,60575.193171299994
13,2460571.8162037,325.1364521,-3.0874014,1,18.936100006103516,0.22126199305057526,60571.31620369991
14,2460571.7344329,325.1364313,-3.0873753,2,18.702999114990234,0.09835200011730194,60571.23443289986
15,2460567.7729167,325.1364298,-3.0873926,1,18.70669937133789,0.11619400233030319,60567.272916700225
16,2460567.7729167,325.1364298,-3.0873926,1,18.70669937133789,0.11619400233030319,60567.272916700225
17,2460567.6888079,325.136405,-3.087406,2,18.862699508666992,0.08736799657344818,60567.188807900064
18,2460565.820081,325.1364454,-3.087438,1,18.711299896240234,0.07926400005817413,60565.320081000216
19,2460565.7869097,325.1364128,-3.0874259,2,18.872499465942383,0.08753599971532822,60565.286909699906
20,2460563.776331,325.1364642,-3.0873702,1,19.080299377441406,0.28117600083351135,60563.27633100003
21,2460563.7355903,325.1364236,-3.0874358,2,18.905799865722656,0.16697600483894348,60563.23559030006
22,2460561.7945833,325.1364378,-3.0874294,2,19.083099365234375,0.09326399862766266,60561.29458330013
23,2460558.7952778,325.1364038,-3.0874158,2,19.470199584960938,0.10086199641227722,60558.295277799945
24,2460558.7747801,325.1364654,-3.0874143,1,19.283199310302734,0.12362600117921829,60558.27478010021
25,2460556.7805556,325.1364385,-3.0874342,2,19.744600296020508,0.13749900460243225,60556.280555599835
26,2460556.7526505,325.1364305,-3.0874025,1,19.650100708007812,0.14496299624443054,60556.25265049981
27,2460554.8767477,325.1365116,-3.0874059,2,20.173500061035156,0.18705900013446808,60554.37674769992
28,2460554.7630093,325.13656,-3.0874681,1,20.206499099731445,0.1900089979171753,60554.26300929999
