,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460615.7401042,328.1329005,3.0769047,2,19.771886825561523,0.19505049288272858,60615.24010419985
1,2460615.7294792,328.1329292,3.0769302,1,20.542600631713867,0.28933000564575195,60615.22947920021
3,2460609.6855903,328.1329062,3.0769369,1,20.477500915527344,0.27647799253463745,60609.18559029978
4,2460609.6499769,328.1329006,3.0769382,2,19.541000366210938,0.12613199651241302,60609.14997689985
5,2460607.7151157,328.1328639,3.0769084,1,20.484899520874023,0.24544000625610352,60607.21511569992
7,2460603.7458102,328.1329197,3.0769382,1,19.926300048828125,0.31533101201057434,60603.245810199995
8,2460603.6717245,328.1329023,3.0769047,2,19.15760040283203,0.09297999739646912,60603.171724500135
10,2460600.7137616,328.1328643,3.07691,2,18.937999725341797,0.13791699707508087,60600.2137616002
12,2460598.622037,328.1328571,3.0769204,2,18.81100082397461,0.12120500206947327,60598.12203700002
13,2460596.7123495,328.1329739,3.0769637,1,19.728500366210938,0.24710899591445923,60596.21234950004
14,2460596.6272685,328.1329139,3.076944,2,18.924400329589844,0.08907900005578995,60596.12726850016
15,2460594.6897222,328.1329037,3.0769022,2,18.90060043334961,0.07350599765777588,60594.189722199924
16,2460594.6482755,328.1328816,3.0768968,1,19.63290023803711,0.17864200472831726,60594.14827550016
17,2460592.6920486,328.1328757,3.0769347,1,19.531600952148438,0.11864200234413147,60592.19204859994
18,2460592.6312616,328.1328937,3.0769241,2,18.878799438476562,0.06383199989795685,60592.13126160018
19,2460580.663912,328.1328844,3.0769182,2,18.348800659179688,0.052678998559713364,60580.163912000135
20,2460578.735463,328.1328956,3.0769414,1,18.3257999420166,0.06669700145721436,60578.2354629999
21,2460578.7291898,328.1328907,3.0769279,2,18.24139976501465,0.04832499846816063,60578.2291898001
22,2460577.8013542,328.132895,3.0769263,3,18.91230010986328,0.10525199770927429,60577.30135420011
23,2460577.755162,328.1328956,3.0769141,2,18.217300415039062,0.05592900142073631,60577.25516200019
24,2460576.8048611,328.1329012,3.0769028,3,18.870399475097656,0.12594400346279144,60576.304861099925
25,2460576.746794,328.1329051,3.0769516,1,18.164899826049805,0.0678820013999939,60576.2467939998
26,2460576.7118634,328.1328802,3.0769449,2,18.18120002746582,0.04937800019979477,60576.21186339995
27,2460575.7870139,328.1328995,3.0769492,1,18.154699325561523,0.07486700266599655,60575.2870139
28,2460575.7683796,328.1328689,3.0769387,3,18.786300659179688,0.09428399801254272,60575.26837959979
29,2460575.6936458,328.1328849,3.0769322,2,18.154699325561523,0.043428998440504074,60575.1936458
30,2460571.8166782,328.1328674,3.0769346,1,18.05660057067871,0.09850099682807922,60571.31667819992
31,2460571.7349074,328.1328915,3.0769335,2,18.12420082092285,0.09149599820375443,60571.23490739986
32,2460567.7608565,328.1328934,3.0769598,1,17.990400314331055,0.0640999972820282,60567.260856499895
33,2460567.6897685,328.1328965,3.0769451,2,18.11870002746582,0.05115199834108353,60567.18976850016
34,2460565.8196181,328.1328952,3.0769228,1,18.088699340820312,0.051447998732328415,60565.319618099835
35,2460565.7831019,328.1329003,3.0769191,2,18.1914005279541,0.07715699821710587,60565.283101900015
36,2460563.7365394,328.1328989,3.0769395,2,18.393699645996094,0.1031780019402504,60563.23653940018
37,2460561.8381481,328.132906,3.0769354,1,18.424100875854492,0.08030200004577637,60561.338148099836
38,2460561.7950579,328.1328907,3.0769415,2,18.545400619506836,0.06330099701881409,60561.295057899784
39,2460559.8095833,328.1329142,3.0769367,1,18.722999572753906,0.08383800089359283,60559.30958329979
40,2460559.7285185,328.1329074,3.0769231,2,18.895700454711914,0.08755700290203094,60559.22851849999
41,2460557.7978356,328.1328985,3.0769112,2,19.361299514770508,0.11745800077915192,60557.2978356001
42,2460557.7835301,328.1328958,3.076942,1,19.30229949951172,0.09097100049257278,60557.28353009978
43,2460555.8658218,328.1328811,3.0768871,2,20.027599334716797,0.13915100693702698,60555.365821800195
44,2460555.7806366,328.1329199,3.076931,1,20.01219940185547,0.17500700056552887,60555.28063660022
45,2460553.8094329,328.1328447,3.0769399,1,20.699600219726562,0.2528209984302521,60553.309432900045
