,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460625.666875,333.6560629,19.3259269,2,19.697723388671875,0.1386708766222,60625.16687500011
1,2460622.6568171,333.6558033,19.3259866,2,19.708599090576172,0.16799399256706238,60622.15681710001
2,2460622.5941898,333.6559035,19.3259318,1,20.32069969177246,0.32100600004196167,60622.09418979986
4,2460620.629537,333.6560307,19.3259352,2,19.67770004272461,0.17012199759483337,60620.129536999855
5,2460618.5916898,333.6560204,19.3259816,2,19.54290008544922,0.12784899771213531,60618.09168979991
6,2460615.7415509,333.6560316,19.325993,2,19.499500274658203,0.11639799922704697,60615.24155090004
7,2460615.7187847,333.6559498,19.3260278,1,20.293100357055664,0.19198299944400787,60615.21878470015
8,2460609.7372454,333.6559938,19.3259755,1,19.531400680541992,0.1191129982471466,60609.23724539997
9,2460609.6518634,333.6560201,19.3259707,2,19.330400466918945,0.11485599726438522,60609.15186339989
10,2460607.7160764,333.6560106,19.3259059,1,19.30970001220703,0.11174599826335907,60607.21607640013
11,2460607.6727083,333.6560034,19.325978,2,19.188600540161133,0.09210199862718582,60607.17270829994
12,2460603.742963,333.6560131,19.3259463,1,19.15290069580078,0.12043099850416183,60603.2429630002
13,2460603.6726736,333.6560649,19.3259523,2,19.084800720214844,0.11924199759960175,60603.172673599795
14,2460600.7825694,333.6560345,19.325949,1,19.231199264526367,0.26931700110435486,60600.282569400035
15,2460600.6951968,333.6560156,19.3260066,2,18.8656005859375,0.14675800502300262,60600.195196799934
16,2460598.6928241,333.6559939,19.3259476,1,18.748600006103516,0.12052799761295319,60598.192824100144
17,2460598.6206366,333.6560087,19.3259776,2,18.8341007232666,0.08606299757957458,60598.12063660007
18,2460596.7137731,333.6560077,19.3259681,1,18.710599899291992,0.0910319983959198,60596.21377310017
19,2460596.6653935,333.6560416,19.3259704,2,18.79319953918457,0.10946600139141083,60596.16539350012
20,2460594.6906597,333.6560489,19.3259586,2,18.76259994506836,0.10762099921703339,60594.19065969996
21,2460594.650162,333.6560417,19.3259934,1,18.695100784301758,0.08878900110721588,60594.15016200021
22,2460592.690625,333.6560278,19.3259595,1,18.732799530029297,0.0846330001950264,60592.190624999814
23,2460592.6512384,333.6560188,19.3259522,2,18.801000595092773,0.08043699711561203,60592.15123840002
25,2460581.6331597,333.6560188,19.3259067,1,20.0531005859375,0.20144900679588318,60581.13315969985
