,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460621.6036574,263.2356903,52.2158833,2,18.504562377929688,0.08355123549699783,60621.10365739977
1,2460619.616794,263.2357417,52.2158161,1,19.166900634765625,0.1358869969844818,60619.116793999914
3,2460619.6021875,263.2356863,52.2157474,2,18.45439910888672,0.08926200121641159,60619.10218749987
8,2460610.6346528,263.2357112,52.2159433,1,18.569299697875977,0.08586899936199188,60610.13465279993
9,2460610.6337037,263.2358023,52.2158661,1,18.3976993560791,0.10723599791526794,60610.1337036998
11,2460608.6583102,263.2358522,52.2158296,2,18.03730010986328,0.13429799675941467,60608.15831020009
12,2460606.699213,263.2357865,52.2158826,1,18.191299438476562,0.07609199732542038,60606.199213000014
13,2460606.6758218,263.235868,52.2159391,1,18.252300262451172,0.09211499989032745,60606.175821799785
15,2460606.6363426,263.2358051,52.2158283,2,17.891199111938477,0.0903870016336441,60606.13634259999
16,2460604.6978241,263.235724,52.2157843,2,17.78820037841797,0.10733000189065933,60604.19782410003
17,2460604.678831,263.2357432,52.215896,2,18.0669002532959,0.04879499971866608,60604.17883099988
18,2460604.6248843,263.2358327,52.2159196,1,18.06719970703125,0.0689140036702156,60604.124884299934
19,2460604.6215162,263.2358108,52.2158906,1,18.142099380493164,0.0781090036034584,60604.12151619978
22,2460599.6604861,263.2357746,52.2158281,2,18.00629997253418,0.0879800021648407,60599.160486099776
23,2460599.6379861,263.2357798,52.2159152,2,18.196399688720703,0.04873599857091904,60599.13798609981
26,2460597.6411806,263.2356912,52.2159327,2,18.422100067138672,0.055702999234199524,60597.14118060004
27,2460597.6181019,263.2359848,52.2157484,2,18.10700035095215,0.13463400304317474,60597.11810189998
28,2460595.6626736,263.2357422,52.2157198,2,18.024099349975586,0.10901699960231781,60595.16267360002
30,2460595.6390856,263.2358222,52.2158605,1,18.302799224853516,0.08064799755811691,60595.13908560015
31,2460595.6216898,263.2357816,52.2160076,1,18.484800338745117,0.09657499939203262,60595.12168980017
32,2460594.6379282,263.235807,52.2158873,1,18.466800689697266,0.09872700273990631,60594.137928199954
