,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460654.0341667,150.5290602,56.1806057,2,19.788190841674805,0.1360151469707489,60653.53416670021
2,2460652.0099653,150.5290657,56.1805569,1,20.7283992767334,0.28043898940086365,60651.509965300094
3,2460651.973669,150.5289768,56.1805845,2,19.627199172973633,0.11930699646472931,60651.47366899997
4,2460649.9682523,150.5289874,56.1805986,2,19.54599952697754,0.1199759989976883,60649.46825229982
5,2460649.9364815,150.5289828,56.1806683,1,20.73310089111328,0.3437829911708832,60649.436481500044
6,2460647.9131481,150.5290121,56.1806197,2,19.445600509643555,0.14492200314998627,60647.41314810002
7,2460644.9821065,150.5289904,56.180571,2,19.08609962463379,0.07409600168466568,60644.48210649984
9,2460640.9323727,150.5290552,56.1805934,2,18.74634552001953,0.10595375299453735,60640.43237269996
10,2460640.9323727,150.5290552,56.1805934,2,18.746299743652344,0.10595399886369705,60640.43237269996
11,2460640.8911343,150.5289156,56.1805186,1,20.083200454711914,0.1602489948272705,60640.3911342998
15,2460632.9284722,150.5289984,56.180555,2,18.16390037536621,0.08033999800682068,60632.42847219994
16,2460632.868287,150.5293377,56.1804205,1,19.038999557495117,0.2810490131378174,60632.368286999874
17,2460629.0340046,150.5290354,56.1805744,1,18.81999969482422,0.09191799908876419,60628.53400459979
18,2460627.977419,150.5290327,56.1805839,1,18.64739990234375,0.09705200046300888,60627.47741900012
20,2460624.9783681,150.528995,56.1805784,1,18.69849967956543,0.07624900341033936,60624.47836809978
21,2460623.9734954,150.5289798,56.1805711,1,18.69529914855957,0.09823299944400787,60623.473495400045
22,2460618.933669,150.5289903,56.1806163,2,18.934999465942383,0.12578199803829193,60618.43366899993
23,2460618.8910532,150.5288769,56.1805641,1,19.173799514770508,0.14661699533462524,60618.39105319977
25,2460614.9762847,150.5290494,56.1806077,2,20.284400939941406,0.22062699496746063,60614.47628469998
