,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460679.6323495,323.9075779,25.816697,2,19.431760787963867,0.15262284874916077,60679.13234949997
1,2460677.611794,323.9075179,25.8166951,2,19.436960220336914,0.1440567672252655,60677.111794000026
2,2460677.611794,323.9075179,25.8166951,2,19.437000274658203,0.1440570056438446,60677.111794000026
3,2460675.6607639,323.9074778,25.8165689,2,19.221599578857422,0.1700430065393448,60675.160763899796
4,2460675.6016667,323.9075382,25.8167288,1,20.25320053100586,0.2419479936361313,60675.101666700095
5,2460673.6233912,323.9074498,25.8166244,2,19.077800750732422,0.20088499784469604,60673.12339119986
6,2460673.6040278,323.9075084,25.816773,1,20.212099075317383,0.28711599111557007,60673.104027799796
8,2460671.6186227,323.9074109,25.8167794,2,18.95680046081543,0.17293299734592438,60671.11862270022
10,2460668.5986458,323.9074832,25.8167319,2,19.065000534057617,0.18351900577545166,60668.09864579979
11,2460665.6118403,323.9075171,25.8166682,2,18.83370018005371,0.09925299882888794,60665.111840299796
12,2460663.6123032,323.9074892,25.8166473,2,18.731300354003906,0.09009300172328949,60663.11230320018
13,2460663.6009838,323.9075876,25.8166558,1,19.698299407958984,0.16985100507736206,60663.1009837999
15,2460660.6379282,323.9074957,25.816672,2,18.756999969482422,0.12314999848604202,60660.137928199954
19,2460653.5933796,323.907487,25.8166878,2,18.577899932861328,0.08359099924564362,60653.09337959997
20,2460651.6087963,323.9075248,25.8166731,2,18.58449935913086,0.08436000347137451,60651.1087962999
21,2460651.5917708,323.9075234,25.8166626,1,18.725400924682617,0.08296400308609009,60651.09177079983
22,2460649.7154977,323.907497,25.8166634,2,18.467500686645508,0.062043000012636185,60649.21549770003
23,2460649.6947222,323.9075437,25.8166875,1,18.510499954223633,0.08706100285053253,60649.19472219981
24,2460647.5940509,323.9075302,25.8166674,2,18.362199783325195,0.07132100313901901,60647.09405090008
26,2460645.6299653,323.9075278,25.8166536,2,18.21380043029785,0.15808099508285522,60645.129965300206
28,2460643.604537,323.9075489,25.8166669,1,18.070899963378906,0.05784999951720238,60643.10453699995
29,2460639.6634028,323.9075076,25.8166825,2,17.91309928894043,0.070762999355793,60639.16340279998
30,2460639.6235764,323.9075005,25.8166707,1,17.82939910888672,0.06566400080919266,60639.12357639987
31,2460636.591713,323.907528,25.8166786,1,17.743900299072266,0.04790699854493141,60636.09171300009
32,2460634.6445255,323.9075338,25.8166952,1,17.68239974975586,0.057555001229047775,60634.144525500014
33,2460634.6248032,323.9075057,25.8166717,2,17.829099655151367,0.05249899998307228,60634.1248031999
34,2460632.5948148,323.9075307,25.8166643,1,17.679399490356445,0.045301999896764755,60632.09481480019
35,2460629.6831481,323.9075151,25.8166815,1,17.737499237060547,0.0657930001616478,60629.18314810004
36,2460629.64375,323.9075104,25.8166818,2,17.923200607299805,0.05256199836730957,60629.143749999814
38,2460625.6973843,323.907505,25.8166975,1,18.202499389648438,0.0877629965543747,60625.197384300176
39,2460625.665463,323.9075021,25.8166642,2,18.28179931640625,0.06774699687957764,60625.16546300007
40,2460622.5927778,323.9075387,25.8166559,1,18.769800186157227,0.09392599761486053,60622.092777799815
41,2460620.671875,323.9075593,25.8167151,1,19.36720085144043,0.16908499598503113,60620.171875
42,2460620.6109722,323.907481,25.8166516,2,19.7716007232666,0.17527399957180023,60620.110972200055
43,2460618.5945139,323.9075673,25.8165916,2,20.100400924682617,0.18206599354743958,60618.09451390011
