,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460650.7165625,40.1325817,19.5447671,2,20.40273094177246,0.18828313052654266,60650.21656250022
2,2460648.7122222,40.1326153,19.5448551,2,20.187400817871094,0.2365889996290207,60648.21222219989
3,2460648.7004051,40.1325662,19.5447488,1,20.800399780273438,0.297762006521225,60648.200405099895
4,2460646.7372454,40.1324892,19.544837,2,20.05660057067871,0.1488180011510849,60646.23724539997
5,2460640.759294,40.132521,19.5447988,2,19.628372192382812,0.15256334841251373,60640.25929399999
6,2460640.759294,40.132521,19.5447988,2,19.628400802612305,0.15256300568580627,60640.25929399999
7,2460640.6946759,40.1325394,19.5447768,1,20.128599166870117,0.1956470012664795,60640.19467590004
8,2460640.6946759,40.1325394,19.5447768,1,20.128599166870117,0.1956470012664795,60640.19467590004
9,2460637.8032292,40.13248,19.5448723,2,19.78459930419922,0.1479090005159378,60637.30322920019
10,2460637.7244792,40.1324865,19.544841,1,19.934600830078125,0.2827039957046509,60637.22447919985
11,2460635.7582755,40.1324649,19.5447864,2,19.573400497436523,0.13525600731372833,60635.25827550003
13,2460634.8168287,40.1325917,19.5448397,1,20.065900802612305,0.38185998797416687,60634.31682869978
15,2460631.8380671,40.1324626,19.5448406,2,19.778799057006836,0.3481130003929138,60631.33806709992
16,2460631.7219097,40.1325087,19.5446777,1,19.541000366210938,0.34216201305389404,60631.22190969996
17,2460626.7367361,40.1324332,19.5446647,1,19.746000289916992,0.2894760072231293,60626.23673610017
18,2460626.6792708,40.1325692,19.5447961,2,19.427200317382812,0.20465800166130066,60626.1792708002
19,2460624.8597222,40.1324761,19.5447669,1,19.671499252319336,0.17160800099372864,60624.35972219985
20,2460624.8316435,40.1325303,19.5448452,2,19.71540069580078,0.14672300219535828,60624.3316434999
21,2460622.6986111,40.1324827,19.5447791,1,19.688800811767578,0.20441199839115143,60622.198611100204
24,2460618.8591204,40.1323977,19.5448321,1,20.345600128173828,0.24150000512599945,60618.35912040016
25,2460618.8089352,40.1325317,19.5447912,2,20.26889991760254,0.26684799790382385,60618.308935199864
