,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460674.8237731,155.7490679,20.6619623,2,19.863052368164062,0.19263190031051636,60674.32377310004
3,2460668.9478472,155.7490187,20.6620203,2,19.87619972229004,0.15772800147533417,60668.44784720009
4,2460668.9473727,155.7489488,20.6619462,2,20.0398006439209,0.2002359926700592,60668.44737270009
5,2460668.9227546,155.7489331,20.6619175,1,20.552000045776367,0.31583499908447266,60668.42275460018
7,2460667.004294,155.7490238,20.6619942,2,19.694799423217773,0.2183459997177124,60666.5042940001
8,2460666.9839236,155.7489873,20.6619602,2,19.974300384521484,0.25496798753738403,60666.483923600055
12,2460653.0307523,155.7490063,20.661958,2,19.285999298095703,0.09917899966239929,60652.53075229982
13,2460653.0255556,155.7490103,20.661921,2,19.269399642944336,0.1496579945087433,60652.52555559995
14,2460653.0074653,155.7490147,20.6619391,1,19.217899322509766,0.11606500297784805,60652.50746530015
15,2460653.0060417,155.7490135,20.6619427,1,19.271799087524414,0.10998699814081192,60652.50604170002
16,2460651.0087963,155.7490285,20.6619449,1,19.121999740600586,0.08752799779176712,60650.50879629981
17,2460651.0083218,155.7490036,20.6619448,1,19.18090057373047,0.09363400191068649,60650.5083217998
18,2460650.9641782,155.7490218,20.6619601,2,19.164199829101562,0.103752002120018,60650.46417819988
19,2460650.9637037,155.7489975,20.6619515,2,19.12619972229004,0.09888099879026413,60650.463703699876
21,2460648.9984375,155.7489898,20.6619614,1,19.108400344848633,0.08534999936819077,60648.49843750009
22,2460648.9777894,155.7490156,20.6619316,2,19.255300521850586,0.11370699852705002,60648.477789400145
24,2460647.0246065,155.7490397,20.6619812,2,19.195899963378906,0.0853080004453659,60646.52460649982
28,2460643.9487037,155.749051,20.662005,2,19.12540054321289,0.2215919941663742,60643.44870370021
30,2460640.025081,155.749058,20.6619832,2,19.4689998626709,0.30146801471710205,60639.525080999825
31,2460640.0059028,155.7491182,20.6620335,1,19.190900802612305,0.32378000020980835,60639.50590279978
34,2460636.0041667,155.748972,20.662079,1,20.36090087890625,0.3832939863204956,60635.504166699946
