,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460691.6498148,23.7476832,-12.0537991,1,19.45474624633789,0.20561917126178741,60691.149814799894
3,2460687.6959259,23.7476199,-12.0539296,2,19.021799087524414,0.2017650008201599,60687.19592589978
6,2460680.6497685,23.7476451,-12.0538281,1,18.747699737548828,0.12376800179481506,60680.14976850012
7,2460679.7081597,23.7477168,-12.0538364,1,18.721399307250977,0.09347999840974808,60679.208159700036
8,2460679.6482755,23.7476467,-12.0538676,2,18.777700424194336,0.11987700313329697,60679.14827550016
9,2460677.7296991,23.7476805,-12.0538631,1,18.666704177856445,0.09937611222267151,60677.2296990999
10,2460677.7296991,23.7476805,-12.0538631,1,18.66670036315918,0.09937600046396255,60677.2296990999
12,2460675.713831,23.7476878,-12.0538364,1,18.491600036621094,0.08004000037908554,60675.21383100003
13,2460675.6484028,23.7477053,-12.0538907,2,18.412700653076172,0.09720200300216675,60675.14840279985
14,2460674.6218519,23.7476913,-12.0538286,1,18.47369956970215,0.06608899682760239,60674.12185190013
15,2460672.6438773,23.7476968,-12.0538747,1,18.40410041809082,0.10020600259304047,60672.14387729997
16,2460672.6187963,23.7476927,-12.0538596,2,18.374500274658203,0.09707199782133102,60672.11879630014
18,2460668.6377431,23.7476743,-12.0538085,1,18.257999420166016,0.11942599713802338,60668.13774310006
24,2460663.7112269,23.7477166,-12.0538123,1,18.253299713134766,0.06476700305938721,60663.21122690011
26,2460661.6921412,23.7476706,-12.0538098,1,18.43560028076172,0.1273380070924759,60661.19214119995
27,2460658.73,23.7477206,-12.053833,1,18.728700637817383,0.12359599769115448,60658.22999999998
32,2460653.6912153,23.7476962,-12.0538164,1,19.740400314331055,0.17571400105953217,60653.1912153
