,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460694.8229282,93.0287019,45.663735,2,19.990550994873047,0.18346188962459564,60694.32292820001
3,2460692.7016898,93.0287041,45.6638151,2,19.802400588989258,0.15463900566101074,60692.20168979978
8,2460686.8458565,93.0287928,45.6637398,2,19.73419952392578,0.23076599836349487,60686.34585649986
13,2460681.720463,93.0287237,45.6638584,1,20.276399612426758,0.20829999446868896,60681.22046299977
14,2460679.7426042,93.0286653,45.6638451,1,20.12849998474121,0.14226700365543365,60679.2426041998
15,2460677.8261227,93.0286878,45.6638407,1,19.728599548339844,0.11485999822616577,60677.32612269977
17,2460677.7640162,93.0287121,45.6638092,2,19.118000030517578,0.06983000040054321,60677.26401619986
19,2460675.8816782,93.0286935,45.6638246,1,19.51259994506836,0.11376400291919708,60675.38167819986
20,2460673.8210417,93.0287235,45.6638153,1,19.327999114990234,0.08223599940538406,60673.321041699965
21,2460673.75375,93.0287281,45.6638102,2,18.968700408935547,0.08242999762296677,60673.25375000015
22,2460667.9045949,93.028894,45.6638075,2,18.72719955444336,0.281686007976532,60667.40459490009
23,2460665.9134144,93.0287233,45.6638263,1,19.02750015258789,0.1029679998755455,60665.41341440007
24,2460665.8709722,93.0286807,45.6638321,2,18.930400848388672,0.08768299967050552,60665.37097219983
25,2460663.9108218,93.0287432,45.6638284,1,18.967100143432617,0.1053910031914711,60663.41082180012
26,2460663.8053704,93.0287324,45.663786,2,18.886199951171875,0.08130700141191483,60663.305370400194
27,2460660.8615625,93.0287501,45.6639433,1,19.065500259399414,0.18567100167274475,60660.36156249978
30,2460658.7882986,93.0285124,45.6637542,1,19.487300872802734,0.23541900515556335,60658.28829859989
