,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460681.7314005,71.2732731,-27.3660635,2,19.541484832763672,0.20784014463424683,60681.23140050005
1,2460681.7103356,71.2734393,-27.3659001,1,19.646400451660156,0.1904889941215515,60681.21033560019
5,2460679.6894444,71.2733507,-27.3658777,2,19.53059959411621,0.1549610048532486,60679.189444399904
7,2460677.7510995,71.2733406,-27.3658427,2,19.223228454589844,0.15070657432079315,60677.251099499874
8,2460677.7510995,71.2733406,-27.3658427,2,19.22319984436035,0.15070700645446777,60677.251099499874
9,2460677.7101273,71.2734248,-27.3658712,1,19.21489906311035,0.1500149965286255,60677.21012730012
10,2460677.7101273,71.2734248,-27.3658712,1,19.21489906311035,0.1500149965286255,60677.21012730012
11,2460676.8352431,71.2734859,-27.365872,1,19.262500762939453,0.20801399648189545,60676.335243099835
12,2460676.8352431,71.2734859,-27.365872,1,19.262500762939453,0.20801399648189545,60676.335243099835
13,2460675.7641204,71.2732996,-27.3657886,2,19.335899353027344,0.15819400548934937,60675.26412039995
14,2460675.7631829,71.273344,-27.3658431,2,19.31209945678711,0.16613300144672394,60675.263182899915
16,2460673.7731944,71.2733583,-27.3658519,2,19.286699295043945,0.150750994682312,60673.27319440013
17,2460673.7308681,71.2733826,-27.3657914,1,19.2007999420166,0.16564899682998657,60673.23086810019
18,2460673.7133102,71.2733497,-27.3658235,1,19.17329978942871,0.15898500382900238,60673.21331019979
22,2460667.8572338,71.2732264,-27.3656602,1,19.13170051574707,0.24794800579547882,60667.357233799994
23,2460666.7316204,71.2733476,-27.3658587,2,19.238399505615234,0.20689299702644348,60666.23162040021
24,2460665.8374769,71.2733819,-27.3658935,2,19.381099700927734,0.14245900511741638,60665.33747689985
25,2460665.8370139,71.2733443,-27.3658185,2,19.43199920654297,0.1641159951686859,60665.337013899814
26,2460665.7939699,71.2734219,-27.3658224,1,19.412500381469727,0.1806199997663498,60665.29396989988
29,2460664.7869097,71.2733291,-27.3657773,1,19.300100326538086,0.2165299952030182,60664.286909699906
