,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460711.6528125,20.1940232,44.5290759,2,19.4686222076416,0.1370878964662552,60711.15281250002
1,2460706.6560417,20.1940263,44.5291642,2,19.39069938659668,0.11576899886131287,60706.15604169993
2,2460699.6628819,20.1940158,44.5291063,1,19.397600173950195,0.13154199719429016,60699.16288190009
3,2460699.6222801,20.1940757,44.5291509,2,19.004100799560547,0.12381699681282043,60699.122280099895
5,2460695.7210532,20.1940383,44.5291292,2,18.82819938659668,0.0724710002541542,60695.22105319984
6,2460695.6147338,20.1940749,44.5291457,1,19.034000396728516,0.0855100005865097,60695.114733799826
7,2460693.740162,20.1940577,44.5290968,2,18.71649932861328,0.09673800319433212,60693.24016200006
8,2460691.6953472,20.1940749,44.5291279,2,18.742000579833984,0.10398299992084503,60691.19534720015
9,2460691.678044,20.1940211,44.5290914,1,18.722000122070312,0.10249999910593033,60691.178044000175
11,2460689.6453241,20.1941342,44.5291879,2,18.72100067138672,0.11488399654626846,60689.14532409981
12,2460687.7423843,20.1940492,44.5291368,2,18.769399642944336,0.18498200178146362,60687.2423843001
13,2460687.6667708,20.1940635,44.5290735,1,18.71969985961914,0.1729779988527298,60687.16677080002
14,2460685.6661111,20.1938511,44.5290434,2,18.69059944152832,0.1784220039844513,60685.1661111
17,2460681.6210764,20.1940294,44.5291598,2,19.064699172973633,0.06671100109815598,60681.121076399926
18,2460679.666331,20.1940158,44.5291651,2,19.17180061340332,0.10074999928474426,60679.16633100016
19,2460677.6454977,20.1940609,44.5291255,2,19.414899826049805,0.11444699764251709,60677.1454977002
