,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460711.6657176,7.742783,25.1361849,2,18.67607307434082,0.1101238802075386,60711.16571759991
1,2460706.6598148,7.7427598,25.1362184,2,18.59440040588379,0.07023400068283081,60706.159814800136
2,2460706.6193171,7.7427693,25.1361891,1,18.89780044555664,0.081495001912117,60706.11931709992
3,2460699.6246759,7.7427116,25.1361858,2,18.196399688720703,0.0988989993929863,60699.12467590021
5,2460697.6174653,7.7426981,25.1362094,1,18.297199249267578,0.33233898878097534,60697.11746530002
6,2460694.6400926,7.7427848,25.1361832,1,18.098100662231445,0.06711599975824356,60694.14009260014
7,2460694.6098727,7.7427669,25.1361996,2,18.03580093383789,0.06897199898958206,60694.10987270018
8,2460691.6939236,7.742767,25.1362229,2,18.125699996948242,0.08515000343322754,60691.19392360002
9,2460691.6542824,7.7428196,25.1361736,1,18.02869987487793,0.06478399783372879,60691.15428239992
10,2460689.6318171,7.7427854,25.1361847,2,18.26930046081543,0.08080200105905533,60689.131817100104
11,2460689.6186343,7.7428373,25.1362036,1,18.156299591064453,0.08284100145101547,60689.11863429984
12,2460687.6982986,7.742779,25.1362233,2,18.351299285888672,0.08456200361251831,60687.19829860004
13,2460687.6591667,7.7427658,25.1361625,1,18.272199630737305,0.10719999670982361,60687.15916670021
15,2460685.6630093,7.7427532,25.1361413,2,18.797500610351562,0.20643199980258942,60685.1630092999
17,2460681.6510301,7.7427974,25.1362115,1,19.449399948120117,0.1340470016002655,60681.15103009995
18,2460681.6100347,7.7426966,25.1361895,2,19.561599731445312,0.10607899725437164,60681.11003470002
20,2460679.6198264,7.7428508,25.1362037,1,20.02750015258789,0.19587700068950653,60679.11982640019
