,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460803.6747454,109.2260473,67.1088395,1,19.524572372436523,0.1854182630777359,60803.17474539997
1,2460795.7385764,109.2259205,67.108909,2,18.278200149536133,0.05360199883580208,60795.238576400094
3,2460788.7787153,109.2259842,67.1089023,1,19.241548538208008,0.09586558490991592,60788.27871529991
4,2460788.7787153,109.2259842,67.1089023,1,19.241500854492188,0.09586600214242935,60788.27871529991
5,2460786.7814352,109.2259941,67.1088964,2,18.177600860595703,0.08199899643659592,60786.28143520001
6,2460786.6665162,109.225862,67.1088336,1,19.215999603271484,0.13644999265670776,60786.166516200174
7,2460781.7570023,109.2259779,67.108919,2,18.09320068359375,0.06922700256109238,60781.25700230012
8,2460781.6656366,109.2259434,67.1088881,1,19.260400772094727,0.09479299932718277,60781.165636599995
9,2460776.7954051,109.2259113,67.1088506,1,19.144399642944336,0.18447500467300415,60776.2954051001
10,2460776.7409722,109.2260153,67.1089019,2,18.031299591064453,0.06382299959659576,60776.24097219994
11,2460774.762662,109.225965,67.1089109,2,18.04360008239746,0.07576700299978256,60774.26266200002
12,2460774.7449653,109.2260432,67.1089305,1,19.178499221801758,0.13279099762439728,60774.244965299964
13,2460772.8224769,109.2259723,67.1089432,2,18.1072998046875,0.08801399916410446,60772.32247690018
15,2460770.7970602,109.2259637,67.1089083,2,18.08839988708496,0.0630979984998703,60770.29706020001
16,2460760.7822454,109.225973,67.1089148,2,17.986600875854492,0.05682099983096123,60760.282245399896
17,2460760.7563889,109.2259997,67.1089385,1,18.986499786376953,0.06910199671983719,60760.25638889987
18,2460758.7952083,109.2260361,67.1088941,2,18.038000106811523,0.05262700095772743,60758.2952083
19,2460758.7952083,109.2260361,67.1088941,2,18.038000106811523,0.05262700095772743,60758.2952083
20,2460758.7561921,109.2258894,67.1089074,1,18.98270034790039,0.07722900062799454,60758.25619209977
21,2460756.7617361,109.2259987,67.1089045,2,18.010400772094727,0.05113999918103218,60756.261736100074
22,2460756.7411806,109.2259606,67.1089209,1,19.000699996948242,0.09885500371456146,60756.24118060013
23,2460754.769213,109.225986,67.1089189,2,18.00279998779297,0.052216000854969025,60754.26921299985
24,2460751.7621759,109.2259598,67.1089135,2,18.042999267578125,0.061223000288009644,60751.26217589993
25,2460751.6999306,109.2259769,67.1089324,1,19.0447998046875,0.07899300009012222,60751.19993059989
27,2460744.6340162,109.2260196,67.10886,1,18.920299530029297,0.11609199643135071,60744.13401619997
28,2460739.7079167,109.2259873,67.108922,2,18.106700897216797,0.13446299731731415,60739.207916699816
30,2460734.8266667,109.2259851,67.1088722,2,18.07349967956543,0.07617899775505066,60734.32666670019
31,2460734.7815046,109.2260694,67.1088451,1,18.81100082397461,0.11082600057125092,60734.28150459984
32,2460732.7156366,109.2259453,67.1089233,2,18.02750015258789,0.05556900054216385,60732.21563659981
33,2460732.683669,109.2260179,67.1089041,1,18.748899459838867,0.06984499841928482,60732.18366899993
34,2460730.8203356,109.2260047,67.108879,1,18.694900512695312,0.0902860015630722,60730.32033560006
35,2460730.7025231,109.2259857,67.1089103,2,18.00480079650879,0.05235299840569496,60730.20252310019
36,2460728.7406944,109.2260089,67.1089305,1,18.766599655151367,0.09532500058412552,60728.24069439992
37,2460726.8998843,109.2259186,67.1089129,1,18.638500213623047,0.08445099741220474,60726.39988429984
38,2460726.822662,109.2260088,67.1089074,2,18.069700241088867,0.05389299988746643,60726.32266200008
40,2460722.6814005,109.2260377,67.1088906,1,18.704700469970703,0.0862329974770546,60722.18140049977
41,2460716.8795602,109.2260195,67.1088646,1,18.673999786376953,0.09919100254774094,60716.37956020003
42,2460714.9627894,109.2262942,67.1087191,1,18.593900680541992,0.18864299356937408,60714.462789400015
43,2460714.9085301,109.2260162,67.1089049,2,18.1033992767334,0.08038400113582611,60714.40853009978
45,2460706.776331,109.2259863,67.1089075,2,17.978900909423828,0.0529090017080307,60706.27633100003
46,2460698.734919,109.2260254,67.1088752,2,18.06410026550293,0.07761900126934052,60698.23491899995
47,2460698.6387384,109.2260204,67.1088769,1,18.06089973449707,0.06921599805355072,60698.13873839984
48,2460696.850162,109.225987,67.1089044,2,18.122400283813477,0.07650599628686905,60696.35016199993
49,2460694.7634028,109.2259949,67.1089147,1,18.092899322509766,0.060398999601602554,60694.263402800076
50,2460692.776794,109.2260271,67.1088879,2,18.23419952392578,0.07071100175380707,60692.27679400006
51,2460692.7696991,109.225924,67.1088941,1,18.14109992980957,0.06977599859237671,60692.26969909994
52,2460690.8608796,109.2264934,67.1088682,1,18.1781005859375,0.14241699874401093,60690.36087960005
53,2460690.8255903,109.2259983,67.1088547,2,18.43280029296875,0.10357899963855743,60690.32559029991
