,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460743.6505324,76.3034132,-20.3798507,2,19.106836318969727,0.16446232795715332,60743.15053239977
2,2460735.6495486,76.3033952,-20.3798012,1,19.321800231933594,0.15660199522972107,60735.14954859996
3,2460733.6486806,76.3033389,-20.3797837,2,18.938100814819336,0.15178099274635315,60733.14868059987
4,2460733.6482176,76.3034249,-20.379753,2,19.010000228881836,0.11133699864149094,60733.14821759984
5,2460733.6284722,76.3033646,-20.379822,1,19.227100372314453,0.15682700276374817,60733.12847220013
6,2460733.6275231,76.3034677,-20.3798099,1,19.07029914855957,0.13494500517845154,60733.1275231
8,2460731.6917477,76.3033813,-20.3797867,2,18.797500610351562,0.11173900216817856,60731.191747699864
9,2460731.6708796,76.3034511,-20.3798094,2,18.790800094604492,0.12076400220394135,60731.170879600104
10,2460729.7130208,76.3034457,-20.3797549,1,18.8356990814209,0.13012400269508362,60729.21302080015
11,2460729.6484838,76.30341,-20.3798094,2,18.810400009155273,0.1378459930419922,60729.14848379977
12,2460729.6475347,76.3034333,-20.3798063,2,18.7406005859375,0.10636600106954575,60729.14753470011
13,2460728.6728588,76.3034258,-20.3797612,2,18.645999908447266,0.11121899634599686,60728.17285879981
16,2460727.6923843,76.3034553,-20.3798051,2,18.57200050354004,0.10818099975585938,60727.19238429982
17,2460727.6695023,76.3033736,-20.3798145,2,18.659000396728516,0.09820300340652466,60727.16950230021
18,2460727.6489931,76.3033648,-20.3797834,1,18.654800415039062,0.11298199743032455,60727.14899310004
19,2460727.6485185,76.3033873,-20.3797579,1,18.693899154663086,0.10175999999046326,60727.14851849992
20,2460725.6740625,76.303386,-20.3797927,1,18.56439971923828,0.1259700059890747,60725.17406249978
21,2460725.6487153,76.3032827,-20.3799198,1,18.523500442504883,0.22777099907398224,60725.14871530002
22,2460725.6343634,76.303517,-20.3797962,2,18.514799118041992,0.13686800003051758,60725.13436339982
23,2460725.6334259,76.3034112,-20.3798403,2,18.473600387573242,0.171314999461174,60725.13342589978
24,2460724.6502431,76.3034171,-20.3797964,2,18.430099487304688,0.10267599672079086,60724.15024309978
25,2460724.6497685,76.3033793,-20.3797783,2,18.541799545288086,0.10647899657487869,60724.14976850012
27,2460722.6900231,76.303492,-20.3797605,2,18.479000091552734,0.1845480054616928,60722.1900231
28,2460722.6691319,76.3034134,-20.3797822,1,18.436599731445312,0.08571700006723404,60722.169131900184
29,2460722.6498611,76.3034205,-20.3798208,1,18.40399932861328,0.20685799419879913,60722.14986110013
30,2460710.6884722,76.3033922,-20.3798023,2,18.588899612426758,0.09228300303220749,60710.188472200185
31,2460710.6478935,76.3033854,-20.3797938,2,18.61910057067871,0.09560400247573853,60710.14789350005
32,2460706.7963889,76.3034671,-20.379756,1,18.953699111938477,0.11849799752235413,60706.29638889991
33,2460706.7542708,76.3033984,-20.3797768,2,19.144500732421875,0.10668499767780304,60706.254270799924
