,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460759.9513889,281.9524476,28.408125,2,19.62525749206543,0.1967717558145523,60759.45138890017
14,2460744.9504745,281.9524162,28.4081317,2,19.132699966430664,0.14974799752235413,60744.45047450019
16,2460740.0290741,281.9525482,28.408143,1,19.842100143432617,0.18850499391555786,60739.529074099846
17,2460740.0286111,281.952439,28.4081388,1,19.910600662231445,0.22322900593280792,60739.52861109981
22,2460732.0530787,281.9524737,28.4081762,2,18.83370018005371,0.11335399746894836,60731.55307869986
23,2460732.0367361,281.9525111,28.4081424,2,18.763099670410156,0.0982699990272522,60731.53673609998
24,2460731.9917014,281.952486,28.4081517,1,19.181900024414062,0.11744900047779083,60731.49170139991
25,2460731.9902894,281.9524303,28.4081477,1,19.315000534057617,0.11602099984884262,60731.490289399866
26,2460730.040706,281.9524858,28.4081667,1,19.008499145507812,0.13408100605010986,60729.540705999825
27,2460730.0172454,281.9525029,28.4081604,2,18.596200942993164,0.08944199979305267,60729.51724540023
28,2460730.0162963,281.9525435,28.4081337,2,18.774700164794922,0.0893860012292862,60729.516296300106
29,2460728.0352778,281.9524866,28.4081472,1,19.007600784301758,0.10744699835777283,60727.53527780017
30,2460728.01875,281.9524452,28.4081877,2,18.58650016784668,0.12928299605846405,60727.518749999814
31,2460728.0182755,281.9524568,28.4081596,2,18.674100875854492,0.10902900248765945,60727.51827549981
34,2460726.0091435,281.9524377,28.4081451,2,18.40130043029785,0.07774200290441513,60725.50914350012
35,2460725.9936227,281.9525036,28.4081516,2,18.588199615478516,0.1349249929189682,60725.49362270022
41,2460722.0080556,281.9524799,28.4080599,2,18.31170082092285,0.19085200130939484,60721.50805559987
42,2460715.0368519,281.9524493,28.40818,2,18.50200080871582,0.11953700333833694,60714.536851900164
