,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460770.7688889,142.5080986,36.9610589,2,19.78616714477539,0.21554416418075562,60770.26888890006
1,2460760.7787847,142.5080032,36.9610526,2,19.685199737548828,0.16659900546073914,60760.278784700204
3,2460760.7549421,142.5079957,36.9609977,1,20.21780014038086,0.16489900648593903,60760.25494210003
4,2460760.7540046,142.5080153,36.9610327,1,20.353099822998047,0.20709200203418732,60760.25400459999
5,2460758.7778356,142.5080276,36.9609807,2,19.54800033569336,0.13223999738693237,60758.27783560008
7,2460758.7531134,142.5080553,36.960958,1,20.20490074157715,0.21227499842643738,60758.25311340019
8,2460758.7471528,142.5080321,36.9610528,1,20.08009910583496,0.20343899726867676,60758.247152800206
11,2460756.748044,142.5079953,36.9610068,1,20.009700775146484,0.14690999686717987,60756.24804400001
12,2460754.7870486,142.508057,36.960998,1,19.844999313354492,0.15382100641727448,60754.28704860015
13,2460754.7865741,142.5080179,36.9610303,1,19.88249969482422,0.11869999766349792,60754.286574100144
15,2460751.840081,142.5080416,36.9610276,1,19.617799758911133,0.19965200126171112,60751.34008099977
16,2460751.7582292,142.5080142,36.961057,2,19.29490089416504,0.10020100325345993,60751.2582291998
17,2460751.7567708,142.5080505,36.9610465,2,19.282100677490234,0.12647099792957306,60751.25677079987
18,2460744.7980787,142.5080101,36.9610058,2,18.950700759887695,0.13971899449825287,60744.29807869997
19,2460744.7133681,142.5080183,36.9610119,1,18.962499618530273,0.154231995344162,60744.213368100114
20,2460739.8006366,142.5080335,36.9610316,1,18.716299057006836,0.06864000111818314,60739.30063659977
21,2460739.7870139,142.5080285,36.9610031,1,18.68720054626465,0.080424003303051,60739.2870139
22,2460739.7378125,142.5080644,36.9610526,2,18.811800003051758,0.09118299931287766,60739.23781249998
23,2460734.8236343,142.5080609,36.9609892,2,18.69890022277832,0.10653699934482574,60734.323634299915
24,2460734.8067361,142.5080141,36.9609989,1,18.543399810791016,0.0720750018954277,60734.3067361
25,2460733.802037,142.5080376,36.9610135,1,18.51759910583496,0.0724169984459877,60733.30203700019
26,2460733.7676852,142.5080389,36.9610139,2,18.71820068359375,0.05688000097870827,60733.26768520009
27,2460732.8204861,142.5080153,36.9610049,1,18.57110023498535,0.0891140028834343,60732.320486099925
29,2460731.7665278,142.5080254,36.9610193,1,18.56369972229004,0.06826800107955933,60731.26652779989
30,2460731.7059954,142.5080382,36.9610171,2,18.771699905395508,0.07041700184345245,60731.20599539997
31,2460730.8196759,142.5080222,36.9609756,1,18.609699249267578,0.09669899940490723,60730.31967590004
33,2460729.7797685,142.5080299,36.9610094,1,18.73780059814453,0.0785830020904541,60729.27976850001
34,2460729.7613889,142.5080363,36.9610333,2,18.8302001953125,0.07813999801874161,60729.261388900224
35,2460728.7898148,142.5080342,36.9609478,1,18.673599243164062,0.08716800063848495,60728.289814800024
36,2460728.7247917,142.508029,36.9610346,2,18.89240074157715,0.09719700366258621,60728.22479170002
40,2460727.7225116,142.5080497,36.9610175,2,19.030399322509766,0.07632900029420853,60727.22251159977
41,2460725.7663194,142.5080385,36.9610203,1,19.088300704956055,0.08397199958562851,60725.266319400165
43,2460725.7472454,142.5080668,36.9610355,2,19.233400344848633,0.12759099900722504,60725.24724540021
44,2460725.7463079,142.5080301,36.9610264,2,19.316299438476562,0.11020000278949738,60725.246307900175
