,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460986.65,267.1620067,29.7613564,2,19.219091415405273,0.18794354796409607,60986.14999999991
16,2460980.6041088,267.1619735,29.7612901,2,19.460500717163086,0.19438199698925018,60980.10410880018
19,2460978.6314699,267.1619512,29.7613107,2,19.380300521850586,0.16736499965190887,60978.13146989979
25,2460976.6140162,267.1619391,29.7612016,2,19.474700927734375,0.17396000027656555,60976.11401619995
27,2460976.60125,267.1619549,29.7613257,2,19.14940071105957,0.214138001203537,60976.10124999983
28,2460974.6565741,267.1619776,29.7612391,1,20.092500686645508,0.24045099318027496,60974.15657409979
32,2460974.6043287,267.1620045,29.7612808,2,19.406200408935547,0.20756900310516357,60974.104328699876
34,2460972.6573958,267.162094,29.7612216,2,19.05139923095703,0.17520500719547272,60972.15739580011
35,2460972.6555208,267.1620678,29.7613497,2,19.305599212646484,0.25917500257492065,60972.155520800035
36,2460972.6137269,267.1620096,29.7612846,1,19.968900680541992,0.20881900191307068,60972.11372689996
39,2460969.6560069,267.1619876,29.7612908,1,20.055099487304688,0.25431498885154724,60969.15600690013
40,2460969.6228472,267.1619645,29.7613052,2,19.441200256347656,0.13721099495887756,60969.122847199906
42,2460969.6223843,267.1620669,29.7612471,2,19.277599334716797,0.14695900678634644,60969.12238429999
45,2460967.6602778,267.1619735,29.7613393,1,19.88719940185547,0.3627220094203949,60967.16027780017
46,2460967.6598032,267.1621663,29.7612638,1,20.05500030517578,0.2677449882030487,60967.15980320005
47,2460967.6216088,267.1620596,29.7612607,2,19.404399871826172,0.1702210009098053,60967.12160879979
48,2460967.6099421,267.1620044,29.7612376,2,19.41860008239746,0.13854800164699554,60967.10994210001
49,2460967.6094676,267.1620033,29.7612732,2,19.33769989013672,0.13150900602340698,60967.10946760001
52,2460965.6616551,267.1620622,29.7612033,1,20.075300216674805,0.18578700721263885,60965.16165510006
53,2460965.6110185,267.1620476,29.7612465,2,19.310699462890625,0.09381099790334702,60965.111018499825
56,2460960.6442824,267.1620446,29.7612566,2,19.494699478149414,0.16203300654888153,60960.14428240014
57,2460960.6438079,267.1620372,29.7612644,2,19.376399993896484,0.14432699978351593,60960.14380790014
59,2460960.6254051,267.1620557,29.7612425,1,20.00589942932129,0.17457300424575806,60960.125405100174
61,2460957.665162,267.1620133,29.7612566,2,19.243600845336914,0.1983640044927597,60957.165161999874
62,2460957.66375,267.1620143,29.7612698,2,19.213199615478516,0.16493600606918335,60957.16374999983
64,2460957.6340741,267.1619387,29.7613631,1,19.909700393676758,0.27492499351501465,60957.13407409983
66,2460957.632662,267.1620514,29.7613124,1,19.90060043334961,0.31964099407196045,60957.132662000135
71,2460953.651713,267.1620515,29.7612069,2,19.55769920349121,0.1985660046339035,60953.151713000145
72,2460953.6512384,267.162037,29.761238,2,19.285900115966797,0.15038299560546875,60953.15123840002
74,2460950.7408449,267.1620691,29.7612229,2,19.277999877929688,0.15765699744224548,60950.24084489979
75,2460950.6726389,267.162044,29.7612306,2,19.057600021362305,0.11604999750852585,60950.17263890011
76,2460950.6712153,267.1619974,29.7612509,2,19.355100631713867,0.1476850062608719,60950.17121529998
77,2460950.6445486,267.1620451,29.761303,1,20.18630027770996,0.3412010073661804,60950.144548600074
78,2460950.6218056,267.1620991,29.7612148,1,19.99570083618164,0.2323009967803955,60950.12180559989
79,2460950.6208681,267.1620067,29.761282,1,19.75589942932129,0.24686099588871002,60950.12086809985
81,2460948.7204398,267.1619921,29.7612684,2,19.316600799560547,0.14723999798297882,60948.22043980006
83,2460948.6623148,267.1620072,29.7612536,2,19.221500396728516,0.12613999843597412,60948.16231480008
84,2460948.6300926,267.1620208,29.7613171,1,19.990299224853516,0.26227501034736633,60948.130092599895
85,2460948.628669,267.1620512,29.7612622,1,19.8700008392334,0.17637400329113007,60948.12866900023
94,2460941.6366667,267.1620527,29.7612224,1,20.03660011291504,0.1461690068244934,60941.13666669978
98,2460938.667581,267.1620361,29.7612714,2,19.16010093688965,0.12610700726509094,60938.1675809999
99,2460938.6506134,267.1620611,29.7612222,2,19.254499435424805,0.11047200113534927,60938.150613400154
100,2460938.6401042,267.162043,29.7612652,1,19.731800079345703,0.1667719930410385,60938.140104200225
104,2460934.7054282,267.1620293,29.761248,2,19.176599502563477,0.13290399312973022,60934.20542819984
106,2460934.6409028,267.162009,29.7612464,1,19.90019989013672,0.1567160040140152,60934.14090280002
110,2460932.7013194,267.1620162,29.7612549,2,19.097700119018555,0.11036200076341629,60932.20131940022
111,2460932.7008449,267.1620531,29.7612374,2,19.2637996673584,0.11287999898195267,60932.20084490022
112,2460932.6561111,267.1620625,29.7612579,1,19.85759925842285,0.1580429971218109,60932.15611110022
117,2460929.7650231,267.1619926,29.7612139,1,19.687400817871094,0.32955801486968994,60929.26502310019
126,2460927.6562269,267.1619944,29.7612361,1,19.682100296020508,0.19682100415229797,60927.15622689994
127,2460925.7469444,267.1620761,29.7612769,1,19.688899993896484,0.25051000714302063,60925.246944400016
129,2460925.7460069,267.1620073,29.7612519,1,19.614700317382812,0.2473279982805252,60925.24600689998
131,2460925.6875,267.162006,29.7612919,2,19.02359962463379,0.13049699366092682,60925.1875
138,2460923.6510069,267.1619432,29.7613207,1,19.650100708007812,0.1625639945268631,60923.151006899774
140,2460921.6793866,267.1620217,29.7612828,1,19.826499938964844,0.20406800508499146,60921.17938659992
141,2460921.677963,267.1619938,29.7612855,1,19.8075008392334,0.21337899565696716,60921.17796299979
144,2460921.6580324,267.1620315,29.7612633,2,19.046899795532227,0.11438599973917007,60921.15803240007
145,2460919.7042708,267.1619942,29.76126,2,19.21109962463379,0.12648800015449524,60919.20427080011
147,2460919.7023843,267.1620271,29.7612446,2,19.11009979248047,0.10166600346565247,60919.202384300064
150,2460919.6669676,267.1620266,29.7612953,1,19.857799530029297,0.19786900281906128,60919.16696760012
151,2460917.7678819,267.1620102,29.7612581,1,19.727800369262695,0.1621289998292923,60917.26788190007
155,2460917.6988889,267.1620232,29.7612797,2,19.099700927734375,0.11862699687480927,60917.198888900224
157,2460915.6842477,267.1620826,29.761231,1,19.67970085144043,0.19312700629234314,60915.18424770003
158,2460914.7040162,267.1620428,29.7612846,2,19.150299072265625,0.13390100002288818,60914.2040161998
166,2460910.6782755,267.16203,29.761248,2,19.074100494384766,0.14673300087451935,60910.17827549996
171,2460908.722338,267.1620512,29.7612561,2,19.109500885009766,0.12524400651454926,60908.22233799985
172,2460908.7156019,267.1620722,29.7612726,2,19.11989974975586,0.12671899795532227,60908.21560190013
