,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460810.9585648,275.7329987,10.3336562,2,17.622549057006836,0.05116022750735283,60810.45856480021
3,2460804.982963,275.7330152,10.3336449,2,17.508399963378906,0.05634099990129471,60804.48296299996
4,2460804.9614699,275.7330163,10.333659,1,17.55739974975586,0.05103600025177002,60804.46146989986
5,2460802.9637384,275.7330186,10.3336428,2,17.28019905090332,0.043115001171827316,60802.46373840002
6,2460797.9608218,275.7330226,10.3336528,1,16.770999908447266,0.038114000111818314,60797.460821799934
7,2460795.8367593,275.7330333,10.3336543,1,16.53510093688965,0.037620000541210175,60795.33675929997
8,2460789.9594213,275.7330279,10.3336452,1,15.791299819946289,0.023276999592781067,60789.45942129986
9,2460789.9221296,275.7330211,10.3336425,2,15.862099647521973,0.03286699950695038,60789.42212959984
10,2460787.9747338,275.7330233,10.3336417,2,15.447500228881836,0.03407299891114235,60787.47473380016
11,2460787.9509954,275.7330184,10.3336522,1,15.344099998474121,0.03364900127053261,60787.45099540008
12,2460785.9623958,275.7330194,10.3336526,1,15.845199584960938,0.02493100054562092,60785.46239579981
13,2460785.9266088,275.733023,10.3336444,2,16.105499267578125,0.03581999987363815,60785.42660879996
