,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460857.7516667,210.7855473,34.9788987,2,18.512496948242188,0.05437777563929558,60857.2516667
2,2460854.8263773,210.7855321,34.9788976,2,18.529499053955078,0.054249998182058334,60854.32637730008
4,2460850.8060185,210.7855569,34.9788977,2,18.44300079345703,0.07892800122499466,60850.30601850012
6,2460848.8260648,210.7855792,34.9788874,1,19.27720069885254,0.12334900349378586,60848.32606479991
7,2460848.7878125,210.7855419,34.9788898,2,18.392000198364258,0.06462299823760986,60848.287812499795
8,2460846.8378819,210.7855539,34.9788649,2,18.38909912109375,0.07685299962759018,60846.337881899904
11,2460842.7011574,210.7855644,34.9788953,2,18.24810028076172,0.07163599878549576,60842.20115739992
14,2460838.802037,210.7855574,34.9788908,2,18.204999923706055,0.07110299915075302,60838.30203700019
16,2460836.7684606,210.7855481,34.9789147,1,18.98780059814453,0.1655450016260147,60836.26846060017
19,2460832.8670023,210.7855506,34.9788812,1,18.957199096679688,0.12862299382686615,60832.36700229999
33,2460810.7877199,210.7855662,34.9788726,1,17.72130012512207,0.0493369996547699,60810.28771989979
