,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460858.8086343,248.4541823,44.8295904,2,20.098146438598633,0.20848403871059418,60858.308634299785
1,2460854.8462847,248.4541977,44.8296535,2,19.942699432373047,0.16564999520778656,60854.34628470009
4,2460852.8214352,248.4543158,44.8295764,2,20.022769927978516,0.18510162830352783,60852.32143520005
5,2460852.8214352,248.4543158,44.8295764,2,20.02280044555664,0.18510200083255768,60852.32143520005
6,2460850.8707523,248.4542409,44.8295813,2,19.910999298095703,0.129488006234169,60850.370752300136
7,2460850.8246991,248.4542844,44.8296206,2,19.83679962158203,0.14587600529193878,60850.32469910011
8,2460848.8246065,248.4542795,44.8295555,1,21.125600814819336,0.3409700095653534,60848.3246065001
9,2460848.8052431,248.4542672,44.8296493,2,19.7721004486084,0.14323699474334717,60848.30524310004
10,2460846.8208449,248.4542363,44.8296174,2,19.548500061035156,0.10924699902534485,60846.32084489986
11,2460846.8017824,248.4542891,44.8295846,1,20.810199737548828,0.3136880099773407,60846.30178239988
12,2460844.8473264,248.4542848,44.8296332,2,19.47130012512207,0.10867200046777725,60844.347326400224
13,2460844.8017245,248.4542105,44.8296255,1,20.43709945678711,0.22331500053405762,60844.30172450002
14,2460842.8058565,248.4542245,44.8296069,2,19.50909996032715,0.112527996301651,60842.30585649982
15,2460842.7812384,248.4541475,44.8295682,1,20.376399993896484,0.19012999534606934,60842.28123839991
16,2460839.8025579,248.4542792,44.8296464,2,19.30715560913086,0.1275171935558319,60839.30255790008
18,2460839.7850347,248.4543166,44.8296088,1,20.164100646972656,0.2624030113220215,60839.28503469983
19,2460837.7638542,248.4542604,44.8296188,2,19.12849998474121,0.12062899768352509,60837.26385420002
20,2460835.9334259,248.4541993,44.8296145,1,19.56130027770996,0.2026679962873459,60835.43342590006
21,2460835.7803704,248.4542654,44.8296275,2,19.13960075378418,0.09660200029611588,60835.28037039982
22,2460831.863287,248.4542768,44.8295983,1,19.158100128173828,0.10179799795150757,60831.363286999986
23,2460831.844537,248.4542679,44.8296447,2,19.0625,0.07983499765396118,60831.34453700017
24,2460828.8242593,248.4542563,44.8296036,1,18.7908992767334,0.09252200275659561,60828.324259299785
25,2460824.9314931,248.4542314,44.8295961,2,18.60070037841797,0.06624700129032135,60824.43149309978
26,2460824.8744213,248.454274,44.829617,1,18.511199951171875,0.06158199906349182,60824.3744212999
27,2460822.8892477,248.4542605,44.8296235,2,18.521400451660156,0.06070400029420853,60822.389247700106
28,2460822.8282176,248.4542603,44.829623,1,18.450700759887695,0.05725099891424179,60822.32821760001
29,2460820.9136227,248.4542369,44.8295722,2,18.54840087890625,0.0670740008354187,60820.41362270014
30,2460820.8820602,248.4542645,44.8296228,1,18.388599395751953,0.058184001594781876,60820.382060199976
31,2460817.8823148,248.4542635,44.8296123,2,18.613399505615234,0.0491270013153553,60817.38231479982
32,2460817.841794,248.4542584,44.8296204,1,18.4468994140625,0.06614100188016891,60817.34179400001
33,2460814.8781019,248.4541442,44.8296036,2,18.824899673461914,0.11802099645137787,60814.37810190022
34,2460814.8281944,248.454269,44.8296181,1,18.68899917602539,0.09643100202083588,60814.32819439983
35,2460810.8335069,248.454293,44.8296409,2,19.51180076599121,0.16296499967575073,60810.333506899886
36,2460810.7152431,248.4542531,44.829654,1,19.41629981994629,0.12784400582313538,60810.21524310019
