,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460857.7364005,201.8285793,-1.0011508,2,18.959497451782227,0.09757094085216522,60857.23640049994
1,2460857.7079051,201.8285117,-1.001136,1,19.751300811767578,0.1628189980983734,60857.20790510019
2,2460853.7391435,201.8285804,-1.0011352,2,18.92300033569336,0.109265998005867,60853.239143500105
3,2460853.7077778,201.8286109,-1.0011978,1,19.571199417114258,0.17837299406528473,60853.20777780004
4,2460851.6919676,201.8286078,-1.0011458,2,18.639999389648438,0.1250150054693222,60851.191967600025
5,2460851.6775463,201.8285926,-1.0012474,2,18.79840087890625,0.11677099764347076,60851.177546299994
6,2460849.7381944,201.8286123,-1.0011846,2,18.76849937438965,0.12111400067806244,60849.23819439998
7,2460849.697419,201.8286104,-1.0011723,1,19.25200080871582,0.11958099901676178,60849.19741899986
8,2460846.7920139,201.8285921,-1.0011288,1,18.969499588012695,0.11484300345182419,60846.29201389989
9,2460844.778669,201.8285507,-1.0011602,1,18.900699615478516,0.1404619961977005,60844.27866900014
10,2460842.6925579,201.8285651,-1.0011669,2,18.57229995727539,0.09350000321865082,60842.19255790021
11,2460840.7756134,201.8285972,-1.0011471,2,18.54599952697754,0.08412999659776688,60840.275613400154
12,2460840.6930787,201.8285898,-1.0011567,1,18.451099395751953,0.07799000293016434,60840.19307869999
13,2460838.8005556,201.828632,-1.0011144,2,18.368200302124023,0.10194399952888489,60838.30055559985
14,2460836.795625,201.8286124,-1.0011209,2,18.213199615478516,0.12350200116634369,60836.295624999795
15,2460836.6856829,201.8285703,-1.0011544,1,18.11639976501465,0.09088200330734253,60836.185682899784
18,2460829.7050579,201.8285752,-1.0011617,1,17.864999771118164,0.056963998824357986,60829.20505789993
19,2460825.6901505,201.8286008,-1.0011785,1,17.793800354003906,0.0711589977145195,60825.19015049981
20,2460823.7649306,201.8285779,-1.0011776,1,17.846500396728516,0.04669100046157837,60823.264930599835
22,2460821.7543403,201.8285892,-1.0012017,1,17.992000579833984,0.05661199986934662,60821.25434029987
25,2460819.7115972,201.8286032,-1.0012248,1,18.228099822998047,0.09536600112915039,60819.21159720002
26,2460817.8286921,201.8285846,-1.001169,1,18.447399139404297,0.07167699933052063,60817.32869210001
