,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460853.8483565,292.6739299,67.0582694,2,20.136974334716797,0.1962587684392929,60853.3483564998
2,2460851.888125,292.6741259,67.0584282,2,19.906200408935547,0.2561509907245636,60851.388125000056
3,2460851.8472569,292.6739366,67.0583589,2,20.053300857543945,0.17696499824523926,60851.34725689981
4,2460849.7820255,292.6739046,67.0582705,2,20.03190040588379,0.2237209975719452,60849.2820255002
6,2460847.8318981,292.6740934,67.0583523,2,19.879100799560547,0.14765499532222748,60847.33189810021
8,2460845.8029398,292.6739869,67.0583228,2,19.707500457763672,0.14737699925899506,60845.30293980008
9,2460845.7426273,292.6740938,67.0583908,1,20.55769920349121,0.2635659873485565,60845.24262729986
10,2460843.8859259,292.6739128,67.0583893,2,19.504100799560547,0.2058050036430359,60843.38592590019
11,2460843.8017014,292.6737291,67.0583302,1,20.48590087890625,0.23417000472545624,60843.30170139996
12,2460841.8898032,292.6740667,67.0583707,2,19.684200286865234,0.16131000220775604,60841.38980320003
13,2460841.7897106,292.6739931,67.0583585,1,20.436100006103516,0.2807529866695404,60841.28971059993
15,2460836.9505671,292.6739646,67.0584211,1,19.917800903320312,0.2538340091705322,60836.4505671002
16,2460834.9323495,292.6739244,67.0584077,1,19.56800079345703,0.12470900267362595,60834.43234949978
17,2460834.820787,292.6740205,67.0584034,2,19.276399612426758,0.16313500702381134,60834.320787000004
18,2460832.9301042,292.6740093,67.0583933,2,19.009000778198242,0.11518999934196472,60832.4301041998
19,2460832.9052083,292.6739044,67.058384,1,19.518400192260742,0.11736699938774109,60832.40520829987
20,2460829.8662384,292.6739415,67.0583885,1,19.268299102783203,0.09628000110387802,60829.366238399874
21,2460829.8221528,292.6740155,67.0584008,2,19.108800888061523,0.10247299820184708,60829.32215279993
22,2460829.8221528,292.6740155,67.0584008,2,19.108800888061523,0.10247299820184708,60829.32215279993
23,2460824.9497917,292.6739709,67.0584079,2,19.274700164794922,0.13190099596977234,60824.44979170011
24,2460824.9270718,292.6739925,67.0583349,1,19.564699172973633,0.11823999881744385,60824.42707179999
25,2460822.9421412,292.6739716,67.0583947,1,19.766199111938477,0.10322000086307526,60822.44214119995
26,2460822.8828704,292.6740742,67.0583473,2,19.61750030517578,0.13597600162029266,60822.38287039986
27,2460820.9245602,292.6738873,67.0584353,2,20.16119956970215,0.3193120062351227,60820.42456019996
28,2460820.8895949,292.673924,67.0584049,1,20.27680015563965,0.1899770051240921,60820.389594899956
29,2460818.9487963,292.6738688,67.0584531,1,20.88719940185547,0.2546370029449463,60818.44879630022
