,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460862.8916667,298.0557673,-14.6530317,2,19.950122833251953,0.14730235934257507,60862.39166670013
2,2460861.8568981,298.0557388,-14.652998,2,19.917600631713867,0.24187999963760376,60861.356898100115
4,2460860.8538657,298.0557717,-14.652972,2,20.000200271606445,0.1914069950580597,60860.35386569984
5,2460858.9206713,298.055703,-14.652965,2,19.809600830078125,0.14824500679969788,60858.42067130003
9,2460854.9427894,298.0557714,-14.6529261,1,19.859600067138672,0.18917599320411682,60854.4427894
10,2460854.8606019,298.055752,-14.6529238,2,19.665300369262695,0.14711999893188477,60854.360601900145
11,2460852.8466204,298.0557022,-14.6529946,2,19.43120002746582,0.12231799960136414,60852.34662039997
12,2460850.896956,298.0557168,-14.6529328,2,19.568265914916992,0.12408888339996338,60850.39695600001
13,2460850.896956,298.0557168,-14.6529328,2,19.568300247192383,0.12408900260925293,60850.39695600001
14,2460850.8446991,298.0557407,-14.6529678,2,19.533899307250977,0.15447600185871124,60850.344699100126
15,2460848.9417593,298.0557787,-14.6529181,2,19.181299209594727,0.22083599865436554,60848.44175929995
16,2460848.9188889,298.0557699,-14.6530071,1,19.687000274658203,0.16513900458812714,60848.41888889996
18,2460844.9197106,298.0556969,-14.6529634,1,19.62220001220703,0.23043900728225708,60844.41971059982
19,2460844.8602546,298.0557926,-14.652986,2,19.3075008392334,0.15122200548648834,60844.36025460018
20,2460842.8992477,298.0556718,-14.6529071,1,19.381900787353516,0.17314200103282928,60842.39924769988
21,2460842.8558565,298.0557039,-14.6529159,2,19.35219955444336,0.1590850055217743,60842.3558565001
23,2460834.9015625,298.0557256,-14.6528691,1,19.754600524902344,0.2194260060787201,60834.401562499814
