,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460877.839213,312.1811239,-4.047247,2,20.115201950073242,0.16789080202579498,60877.339213000145
2,2460875.8573148,312.1811475,-4.0472088,2,19.85260009765625,0.15756000578403473,60875.35731479991
4,2460872.8999421,312.1811375,-4.0472144,2,19.492000579833984,0.17368599772453308,60872.39994210005
5,2460872.764375,312.1811938,-4.0472101,1,20.395700454711914,0.31227099895477295,60872.264374999795
8,2460866.8591782,312.1810903,-4.0471588,2,19.576732635498047,0.18888604640960693,60866.3591781999
10,2460864.9186458,312.1811778,-4.0471879,1,19.756799697875977,0.2007170021533966,60864.41864580009
11,2460864.8637963,312.1811501,-4.0472402,2,19.287099838256836,0.12251999974250793,60864.36379629979
12,2460862.9219329,312.1811467,-4.0472128,1,19.438600540161133,0.10984399914741516,60862.42193289986
13,2460862.8897801,312.1811525,-4.0472512,2,19.28510093688965,0.0849120020866394,60862.38978009997
14,2460860.8986111,312.1811509,-4.0472223,1,19.215700149536133,0.10977300256490707,60860.398611099925
15,2460860.8529282,312.1811576,-4.0472199,2,19.207599639892578,0.10450299829244614,60860.352928199805
16,2460858.9497917,312.1811215,-4.0472283,2,19.03070068359375,0.09928099811077118,60858.44979170011
17,2460858.8832523,312.1811487,-4.0472029,1,19.08099937438965,0.0918319970369339,60858.38325229986
18,2460855.9015046,312.181151,-4.0472331,1,18.899200439453125,0.08929300308227539,60855.401504599955
19,2460855.8590741,312.1811842,-4.0472945,2,18.818599700927734,0.10701700299978256,60855.35907409992
20,2460852.9424653,312.1811466,-4.0472248,2,18.83006477355957,0.08542325347661972,60852.442465300206
21,2460852.9424653,312.1811466,-4.0472248,2,18.83009910583496,0.08542300015687943,60852.442465300206
22,2460852.9210301,312.181162,-4.0471966,1,18.74970054626465,0.08291900157928467,60852.42103009997
23,2460850.9540278,312.1811443,-4.0472243,2,18.879735946655273,0.09233205765485764,60850.45402779989
24,2460850.9540278,312.1811443,-4.0472243,2,18.87969970703125,0.09233199805021286,60850.45402779989
25,2460850.9206481,312.1811208,-4.0472211,2,18.786800384521484,0.07944899797439575,60850.420648099855
26,2460850.9206481,312.1811208,-4.0472211,2,18.786800384521484,0.07944899797439575,60850.420648099855
27,2460847.9367245,312.1811392,-4.0472971,2,19.02001190185547,0.11328958719968796,60847.4367244998
29,2460847.894213,312.1811138,-4.0472381,1,18.89889907836914,0.08322200179100037,60847.39421299985
30,2460845.8986343,312.1811575,-4.0472305,1,19.079599380493164,0.11346200108528137,60845.3986343001
31,2460845.8221759,312.1811419,-4.0472409,2,19.159400939941406,0.11423800140619278,60845.322175899986
32,2460843.941713,312.1811263,-4.0472321,1,19.313400268554688,0.13765999674797058,60843.44171300018
