,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460863.7750116,299.3336056,18.0442146,1,19.80091667175293,0.18809551000595093,60863.275011599995
1,2460861.9227431,299.3335471,18.0442707,1,20.177600860595703,0.17263300716876984,60861.42274310021
2,2460859.8754282,299.3335844,18.0442622,1,19.732799530029297,0.15583500266075134,60859.37542819977
4,2460857.8278704,299.3335582,18.0441966,1,19.42399024963379,0.12056607753038406,60857.32787040016
6,2460855.8813773,299.3336019,18.0442291,1,19.247299194335938,0.1560640037059784,60855.38137729978
7,2460855.8414815,299.3335942,18.0441871,2,19.162900924682617,0.11523199826478958,60855.34148149984
8,2460853.8985532,299.3335873,18.0442438,2,19.153188705444336,0.10836146771907806,60853.398553200066
10,2460853.8185764,299.3335265,18.0442107,1,19.09830093383789,0.0994269996881485,60853.31857640017
11,2460853.8185764,299.3335265,18.0442107,1,19.09830093383789,0.0994269996881485,60853.31857640017
12,2460851.8968866,299.3335581,18.0442479,2,18.932886123657227,0.09447092562913895,60851.39688660018
13,2460851.8968866,299.3335537,18.044244,2,18.93589973449707,0.10953599959611893,60851.39688660018
14,2460851.7997569,299.333588,18.0442196,2,18.9060001373291,0.08762200176715851,60851.29975689994
15,2460851.7997569,299.3335889,18.044219,2,18.904499053955078,0.09945400059223175,60851.29975689994
16,2460849.8313657,299.3335806,18.0442442,1,18.605199813842773,0.05158500000834465,60849.33136569988
17,2460849.7959954,299.3335709,18.0442416,2,18.707500457763672,0.09474699944257736,60849.29599539982
18,2460847.8710185,299.3335396,18.0442369,1,18.263099670410156,0.048308998346328735,60847.37101850007
19,2460847.8380787,299.3335832,18.0442394,2,18.282499313354492,0.047200001776218414,60847.338078700006
21,2460845.8965972,299.3335881,18.0442458,1,17.859899520874023,0.049830999225378036,60845.39659720007
