,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460857.7340394,212.3698027,-26.3240484,2,19.15981674194336,0.16865557432174683,60857.23403939977
3,2460855.6919213,212.3696633,-26.3240583,2,19.416900634765625,0.2165600061416626,60855.19192129979
4,2460853.7334722,212.3695644,-26.3240848,2,18.804399490356445,0.12950499355793,60853.23347220011
5,2460853.7191551,212.3696501,-26.3241106,1,19.508699417114258,0.18309900164604187,60853.219155100174
6,2460851.7242593,212.3697331,-26.3242511,2,18.677799224853516,0.29055801033973694,60851.22425930016
7,2460851.6834259,212.3696907,-26.3241602,2,19.028600692749023,0.17475999891757965,60851.18342590006
8,2460849.7344097,212.369733,-26.3240429,2,18.815000534057617,0.13628199696540833,60849.23440970015
9,2460849.6898148,212.3696626,-26.3239974,1,19.01799964904785,0.15818700194358826,60849.18981479993
10,2460847.7538194,212.3699619,-26.3239672,2,18.74049949645996,0.16506199538707733,60847.25381939998
11,2460847.7081597,212.3697003,-26.3241615,1,19.00550079345703,0.19100600481033325,60847.208159700036
12,2460845.7538426,212.369719,-26.3240363,2,18.46780014038086,0.09378600120544434,60845.253842600156
13,2460845.6894444,212.3696915,-26.3240162,1,18.748300552368164,0.11011400073766708,60845.189444399904
14,2460842.7305093,212.3696576,-26.3240476,1,18.548999786376953,0.10615900158882141,60842.230509299785
15,2460842.6892593,212.369711,-26.3240976,2,18.359600067138672,0.07034099847078323,60842.18925930001
17,2460839.7310532,212.369639,-26.3240186,1,18.553600311279297,0.1041409969329834,60839.231053200085
18,2460836.7678009,212.3696663,-26.3240967,1,18.11829948425293,0.21393799781799316,60836.267800900154
19,2460831.751956,212.3696737,-26.3240502,2,18.42180061340332,0.12201900035142899,60831.25195599999
20,2460831.7094329,212.3696417,-26.3240069,1,18.416799545288086,0.0907910019159317,60831.20943289995
21,2460829.731412,212.3697774,-26.324008,2,18.701099395751953,0.12372200191020966,60829.23141200002
22,2460829.709456,212.3696985,-26.3240411,1,18.664600372314453,0.11368600279092789,60829.20945600001
23,2460824.772338,212.3696754,-26.3241078,1,19.64310073852539,0.14250800013542175,60824.272338000126
