,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460887.7154051,257.5247035,12.8042443,2,19.99165153503418,0.17548909783363342,60887.215405100025
2,2460870.7989005,257.52468,12.8042651,1,19.674100875854492,0.2393220067024231,60870.29890049994
4,2460868.7884606,257.5246918,12.804264,2,18.88629913330078,0.110385000705719,60868.28846060019
5,2460868.7139815,257.5246761,12.8042041,1,19.49850082397461,0.21596799790859222,60868.213981499895
6,2460866.756956,257.5246706,12.8043136,2,19.005699157714844,0.1194090023636818,60866.25695599988
7,2460866.7015162,257.5246188,12.8041505,1,19.208499908447266,0.19433799386024475,60866.20151619986
8,2460866.7015162,257.5246188,12.8041505,1,19.208499908447266,0.19433799386024475,60866.20151619986
9,2460864.9094213,257.5246885,12.8042672,1,19.166099548339844,0.18014700710773468,60864.40942130005
11,2460862.9031944,257.5246542,12.804264,1,19.170499801635742,0.15472500026226044,60862.403194400016
13,2460860.8402546,257.5246529,12.8042794,2,19.165700912475586,0.10346899926662445,60860.34025460016
14,2460860.7564468,257.5246531,12.8043002,1,19.35460090637207,0.13782399892807007,60860.256446800195
15,2460858.839294,257.5246558,12.8043075,1,19.540300369262695,0.16219699382781982,60858.33929400006
16,2460858.8009838,257.5246367,12.8042965,2,19.41629981994629,0.13346299529075623,60858.30098380009
