,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460910.765787,281.7748947,29.4436697,2,20.169485092163086,0.20102635025978088,60910.26578699984
1,2460910.7653125,281.7749946,29.443687,2,20.07390022277832,0.20131200551986694,60910.26531249983
8,2460903.6759606,281.7749565,29.443691,2,20.07900047302246,0.22514399886131287,60903.17596059991
9,2460903.6750116,281.7748832,29.4436989,2,20.090299606323242,0.18336300551891327,60903.1750115999
11,2460901.7142708,281.7749574,29.4437077,1,20.702299118041992,0.30247899889945984,60901.21427079989
13,2460901.6860532,281.7749852,29.4437276,2,19.98349952697754,0.19077099859714508,60901.18605320016
14,2460901.6860532,281.7749852,29.4437276,2,19.98349952697754,0.19077099859714508,60901.18605320016
15,2460899.7176736,281.7750483,29.4436368,2,19.854900360107422,0.22636500000953674,60899.217673600186
16,2460899.7148495,281.7748689,29.4436982,2,19.94969940185547,0.25483301281929016,60899.214849499986
18,2460899.6722917,281.775037,29.4435962,1,20.20009994506836,0.3396959900856018,60899.1722916998
20,2460897.7356829,281.7749707,29.4436292,2,19.435049057006836,0.1812070608139038,60897.235682900064
21,2460897.7356829,281.7749707,29.4436292,2,19.434999465942383,0.18120700120925903,60897.235682900064
23,2460897.724213,281.7750205,29.4437118,2,19.817100524902344,0.3056100010871887,60897.22421299992
24,2460895.7443171,281.7749914,29.443547,2,19.69499969482422,0.35103800892829895,60895.24431709992
25,2460895.7218981,281.7750003,29.4437154,2,19.429500579833984,0.22124099731445312,60895.22189809987
28,2460892.873588,281.7749355,29.4436454,1,19.926300048828125,0.24186600744724274,60892.37358799996
29,2460892.7250347,281.7749797,29.4437136,2,19.62890625,0.18836435675621033,60892.225034699775
30,2460892.7250347,281.7749797,29.4437136,2,19.6289005279541,0.18836399912834167,60892.225034699775
31,2460892.7240856,281.7749568,29.4436882,2,19.672800064086914,0.20091399550437927,60892.224085600115
32,2460890.8662847,281.7749828,29.4436833,2,19.500099182128906,0.2033119946718216,60890.36628470011
33,2460890.8287963,281.7749475,29.4437025,1,19.804000854492188,0.19750399887561798,60890.328796300106
34,2460890.8038194,281.7749481,29.4437544,1,19.738000869750977,0.24419699609279633,60890.30381939979
35,2460890.6800694,281.7750152,29.4436232,2,19.490400314331055,0.15645800530910492,60890.1800694
36,2460888.8054977,281.7749777,29.4436531,2,19.49570083618164,0.1308239996433258,60888.30549769988
37,2460888.8054977,281.7749777,29.4436531,2,19.49570083618164,0.1308239996433258,60888.30549769988
38,2460888.8050347,281.7749133,29.4436933,2,19.42020034790039,0.12323100119829178,60888.30503469985
39,2460888.8050347,281.7749133,29.4436933,2,19.42020034790039,0.12323100119829178,60888.30503469985
40,2460888.7565509,281.7750071,29.4436529,1,19.631799697875977,0.10603199899196625,60888.25655090017
41,2460888.7551273,281.7750545,29.4436974,1,19.652799606323242,0.15415799617767334,60888.25512730004
42,2460886.810787,281.7749907,29.4436768,2,19.443700790405273,0.12163399904966354,60886.31078700023
43,2460886.8103241,281.7749403,29.4436503,2,19.362199783325195,0.10574699938297272,60886.310324099846
44,2460886.7632407,281.7749545,29.4436876,1,19.700599670410156,0.14198100566864014,60886.26324070012
45,2460886.7618171,281.7749578,29.4436699,1,19.592500686645508,0.12475500255823135,60886.26181709999
46,2460884.7647917,281.7749961,29.4436492,2,19.369199752807617,0.17114900052547455,60884.26479170006
47,2460884.7581944,281.7749305,29.4436814,2,19.442399978637695,0.13476599752902985,60884.2581944
48,2460884.6939815,281.7749849,29.4437103,1,19.598800659179688,0.1452849954366684,60884.19398149988
49,2460884.6939815,281.7749849,29.4437103,1,19.598800659179688,0.1452849954366684,60884.19398149988
50,2460884.6939815,281.7749849,29.4437103,1,19.598800659179688,0.1452849954366684,60884.19398149988
51,2460884.6935069,281.7749224,29.4436513,1,19.6343994140625,0.17501799762248993,60884.19350690022
52,2460882.8436227,281.7749929,29.4436827,1,19.40530014038086,0.11121252179145813,60882.343622699846
54,2460882.7658796,281.7749819,29.4436603,2,19.451099395751953,0.09860700368881226,60882.26587959984
55,2460882.7639699,281.7749952,29.4436706,2,19.406600952148438,0.12445700168609619,60882.26396990009
57,2460882.7250116,281.7749013,29.4436635,1,19.52750015258789,0.14460399746894836,60882.22501160018
58,2460880.7978356,281.7749968,29.4436572,1,19.590190887451172,0.13041932880878448,60880.2978356001
59,2460880.7978356,281.7749968,29.4436572,1,19.590200424194336,0.13041900098323822,60880.2978356001
60,2460880.7670833,281.7749692,29.4436455,2,19.540800094604492,0.1283539980649948,60880.26708329981
61,2460880.7647222,281.774978,29.4436682,2,19.570600509643555,0.16464300453662872,60880.26472220011
62,2460880.7647222,281.774978,29.4436682,2,19.570600509643555,0.16464300453662872,60880.26472220011
63,2460880.6907986,281.7749126,29.4436937,1,19.564199447631836,0.14135600626468658,60880.190798600204
64,2460878.8462847,281.774934,29.4436288,1,19.84510040283203,0.1819320023059845,60878.34628470009
65,2460878.7585648,281.7749671,29.4436422,2,19.679100036621094,0.13564500212669373,60878.258564800024
66,2460878.7576273,281.7749161,29.4436663,2,19.6919002532959,0.14767800271511078,60878.25762729999
67,2460878.7217477,281.7749808,29.4436352,1,19.708599090576172,0.13857899606227875,60878.221747700125
68,2460876.8000347,281.7749224,29.4436482,1,19.882299423217773,0.14747899770736694,60876.30003469996
69,2460876.7995486,281.7749751,29.4436349,1,19.89430046081543,0.15031500160694122,60876.29954859987
70,2460876.7762269,281.7749444,29.4437266,2,19.816299438476562,0.1923229992389679,60876.27622690005
71,2460876.7570139,281.7749234,29.4436528,2,19.721500396728516,0.14181900024414062,60876.257013900205
72,2460873.7889815,281.7749435,29.44362,2,20.194499969482422,0.3089039921760559,60873.28898150008
74,2460873.722419,281.7749344,29.4436482,1,20.409400939941406,0.3219369947910309,60873.22241900023
75,2460873.7219444,281.7750134,29.4437161,1,20.5216007232666,0.3698340058326721,60873.22194440011
