,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460919.8504745,350.3917955,22.4348393,2,20.2010555267334,0.18337009847164154,60919.3504745001
1,2460919.84,350.3918147,22.4347983,2,20.45009994506836,0.22547100484371185,60919.33999999985
2,2460919.8395255,350.3917783,22.4347909,2,20.334199905395508,0.1822340041399002,60919.33952549985
5,2460919.8023727,350.391813,22.4348227,1,20.629199981689453,0.31893500685691833,60919.30237270007
6,2460917.8598264,350.3918193,22.4347997,2,20.45359992980957,0.28235000371932983,60917.359826399945
7,2460917.8479745,350.391714,22.4348521,2,20.164100646972656,0.2261579930782318,60917.34797450015
8,2460917.8475116,350.3917754,22.4347901,2,20.33370018005371,0.18450400233268738,60917.34751159977
9,2460917.7973148,350.3919259,22.434865,1,20.720699310302734,0.3950439989566803,60917.29731479986
13,2460914.8575579,350.3918533,22.4348156,2,19.84749984741211,0.1331470012664795,60914.357557899784
14,2460914.8570833,350.3918225,22.4348091,2,20.09939956665039,0.19741399586200714,60914.35708330013
15,2460914.8186458,350.3918739,22.4348338,1,20.398700714111328,0.26622098684310913,60914.3186458
16,2460914.8181829,350.3917658,22.4347841,1,20.223800659179688,0.21919600665569305,60914.31818290008
17,2460914.8030671,350.3919375,22.4349349,1,20.807199478149414,0.4044579863548279,60914.30306709977
18,2460911.8737269,350.391733,22.4347842,1,20.090999603271484,0.20925599336624146,60911.3737269002
19,2460911.8732639,350.3917345,22.4348902,1,20.341100692749023,0.33593401312828064,60911.37326390017
20,2460911.8723032,350.391809,22.4348273,1,20.059600830078125,0.1466660052537918,60911.372303199954
21,2460911.8395255,350.3918008,22.4348085,2,19.855199813842773,0.14526599645614624,60911.33952549985
22,2460911.8390509,350.3917566,22.4347726,2,20.021499633789062,0.19481100142002106,60911.33905090019
23,2460911.8247454,350.3918246,22.4347875,2,19.894399642944336,0.18625999987125397,60911.32474539988
24,2460909.8751505,350.3918189,22.4347791,2,19.77549934387207,0.13754700124263763,60909.375150499865
25,2460909.8746759,350.3918416,22.4348501,2,19.84670066833496,0.12700200080871582,60909.37467590021
27,2460909.8411574,350.3917289,22.434843,1,20.324499130249023,0.16612599790096283,60909.34115740005
28,2460909.8402083,350.3918788,22.4348583,1,20.226600646972656,0.23714500665664673,60909.340208299924
29,2460909.8252778,350.3918248,22.4348288,1,20.204099655151367,0.22051599621772766,60909.325277800206
30,2460905.8529282,350.3917873,22.434849,2,19.644800186157227,0.1313440054655075,60905.352928199805
32,2460905.8519792,350.3918144,22.434826,2,19.58049964904785,0.14784200489521027,60905.3519791998
33,2460905.8226042,350.3918242,22.4348366,1,19.949499130249023,0.11712300032377243,60905.32260419987
34,2460905.8216667,350.391846,22.4348661,1,20.069700241088867,0.17853400111198425,60905.321666699834
35,2460905.8211921,350.3918115,22.4347872,1,19.860700607299805,0.21318399906158447,60905.32119210018
36,2460903.8935301,350.391815,22.434796,1,19.68950080871582,0.17653200030326843,60903.39353010012
37,2460903.8874074,350.3918319,22.4348142,1,19.8927001953125,0.14643800258636475,60903.38740740018
38,2460903.8405903,350.3918183,22.4347982,2,19.578500747680664,0.07581199705600739,60903.34059030004
39,2460903.8401157,350.3917795,22.4348089,2,19.620800018310547,0.13726499676704407,60903.34011569992
40,2460903.7917361,350.3918083,22.4348367,2,19.542299270629883,0.12470199912786484,60903.29173609987
41,2460901.9020023,350.3919488,22.434793,1,19.742300033569336,0.3441939949989319,60901.402002300136
42,2460901.8957755,350.3918475,22.4347923,1,19.33880043029785,0.20809699594974518,60901.39577550022
43,2460901.8673727,350.3918432,22.4347814,2,19.30769920349121,0.1259620040655136,60901.36737270001
44,2460901.8640741,350.3918256,22.4348132,2,19.335599899291992,0.15220899879932404,60901.36407409981
45,2460901.8640741,350.3918256,22.4348132,2,19.335599899291992,0.15220899879932404,60901.36407409981
47,2460897.9463657,350.3917124,22.4348177,1,19.303300857543945,0.31373998522758484,60897.4463657001
50,2460897.8836111,350.3917921,22.4348386,2,19.198400497436523,0.26538100838661194,60897.383611099795
