,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460930.9051505,329.8855279,51.3098896,1,18.346513748168945,0.08456588536500931,60930.405150500126
1,2460929.795463,329.8855029,51.3099068,1,18.150474548339844,0.05743270739912987,60929.29546299996
2,2460929.7949884,329.8854932,51.3098895,1,18.070388793945312,0.07220997661352158,60929.29498839984
3,2460929.7445023,329.885484,51.309881,2,18.047700881958008,0.07248599827289581,60929.24450229993
4,2460928.7892245,329.8854655,51.309889,1,17.97119140625,0.04863887280225754,60928.28922449984
5,2460928.744375,329.8854932,51.3098881,2,17.930200576782227,0.06960400193929672,60928.24437499978
6,2460927.8246528,329.8855216,51.3098952,1,17.9158992767334,0.05377199873328209,60927.32465279987
7,2460927.8241782,329.8854939,51.309907,1,17.80579948425293,0.068231001496315,60927.324178200215
8,2460927.7193403,329.8854965,51.3098929,2,17.80299949645996,0.05817300081253052,60927.21934030019
9,2460927.7173958,329.8854635,51.3098947,2,17.84149932861328,0.057429999113082886,60927.217395800166
10,2460926.8432523,329.8854749,51.3098973,1,17.84239959716797,0.060134001076221466,60926.34325229982
11,2460926.74,329.8854662,51.3098913,2,17.777700424194336,0.05614599958062172,60926.24000000022
12,2460925.799919,329.8855397,51.3099098,1,17.74370002746582,0.07345999777317047,60925.299918999895
13,2460925.7766319,329.8855269,51.309885,1,17.868000030517578,0.0637580007314682,60925.27663190011
14,2460925.6968866,329.8854844,51.3099043,2,17.670799255371094,0.0521400012075901,60925.196886599995
15,2460925.6968866,329.8854844,51.3099043,2,17.670799255371094,0.0521400012075901,60925.196886599995
16,2460924.7571644,329.8854707,51.309905,1,17.644100189208984,0.04786600172519684,60924.25716440007
17,2460924.6815972,329.8854994,51.3098848,2,17.56559944152832,0.05951999872922897,60924.18159720022
18,2460923.9281597,329.885541,51.3099123,1,17.523399353027344,0.04947799816727638,60923.428159699775
19,2460923.9276852,329.8854969,51.3099083,1,17.554000854492188,0.05100100114941597,60923.42768519977
20,2460923.815787,329.8854665,51.3098812,2,17.534900665283203,0.05914999917149544,60923.315787000116
21,2460922.9120023,329.8855114,51.3099019,1,17.42970085144043,0.044390998780727386,60922.41200229991
22,2460922.9120023,329.8855114,51.3099019,1,17.42970085144043,0.044390998780727386,60922.41200229991
23,2460922.740544,329.8854818,51.3098749,2,17.427099227905273,0.04134399816393852,60922.240544000175
24,2460921.7539815,329.8854626,51.3098866,1,17.21470069885254,0.04274800047278404,60921.25398149993
25,2460921.7534954,329.8855281,51.3099039,1,17.31450080871582,0.04650900140404701,60921.25349539984
27,2460920.8293287,329.8855006,51.3098893,1,17.257999420166016,0.054395001381635666,60920.32932869997
28,2460919.8454745,329.8854724,51.3098908,2,17.201499938964844,0.03903000056743622,60919.34547450021
29,2460919.8449884,329.8855015,51.3098832,2,17.103200912475586,0.05065000057220459,60919.34498840012
30,2460919.809456,329.885487,51.3098915,1,17.143699645996094,0.03911399841308594,60919.309456000105
31,2460919.8084838,329.8855327,51.3098907,1,17.13159942626953,0.041703999042510986,60919.30848379992
32,2460918.8533102,329.8855035,51.3098789,2,17.044300079345703,0.03315500169992447,60918.35331019992
33,2460918.7853356,329.8855026,51.3098708,1,17.01129913330078,0.035937998443841934,60918.28533559991
34,2460918.7853356,329.8855026,51.3098708,1,17.01129913330078,0.035937998443841934,60918.28533559991
35,2460917.8395602,329.885458,51.3098933,2,16.942899703979492,0.03482599928975105,60917.339560199995
36,2460917.7840046,329.885483,51.3098889,1,16.91699981689453,0.03251900151371956,60917.28400459979
37,2460917.7840046,329.885483,51.3098889,1,16.91699981689453,0.03251900151371956,60917.28400459979
38,2460917.782581,329.8855051,51.3098917,1,16.867599487304688,0.04005499929189682,60917.28258100012
39,2460916.8238194,329.8854952,51.3098898,1,16.704599380493164,0.037801001220941544,60916.32381939981
40,2460914.8011227,329.8855193,51.309891,1,16.393199920654297,0.03002299927175045,60914.301122699864
41,2460914.7785648,329.8854966,51.3098892,1,16.3927001953125,0.033969998359680176,60914.27856480004
42,2460914.7376157,329.8854669,51.3098881,2,16.486000061035156,0.03458699956536293,60914.23761569988
43,2460913.8158912,329.8854943,51.3098965,1,16.154300689697266,0.03411800041794777,60913.31589120021
45,2460911.8320023,329.8854594,51.3098809,2,15.808600425720215,0.03670300170779228,60911.33200229984
46,2460911.7581944,329.885473,51.3098813,1,15.492799758911133,0.023768000304698944,60911.2581944
47,2460911.7577315,329.8854983,51.3098974,1,15.651000022888184,0.04802500084042549,60911.25773150008
48,2460911.7344213,329.8854696,51.3098902,1,15.521900177001953,0.02665499970316887,60911.23442129977
