,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460973.9171528,82.9617139,-10.4460589,2,20.27526092529297,0.19821591675281525,60973.41715280013
3,2460968.9427199,82.961723,-10.4460238,2,19.871700286865234,0.1847030073404312,60968.44271990005
4,2460966.9396644,82.961637,-10.4460132,2,19.812700271606445,0.16678200662136078,60966.43966440018
6,2460961.9339468,82.9615943,-10.4460132,2,19.518800735473633,0.1313759982585907,60961.43394679995
7,2460958.0016551,82.961605,-10.4459874,2,19.23270034790039,0.1263670027256012,60957.50165509991
10,2460955.9600116,82.9615853,-10.4460179,2,19.04840087890625,0.12466999888420105,60955.46001160005
11,2460953.9750694,82.9615657,-10.445988,1,20.189300537109375,0.2676759958267212,60953.47506939992
12,2460953.9446412,82.9615758,-10.4459941,2,19.060699462890625,0.09599799662828445,60953.444641199894
13,2460951.9628356,82.9616334,-10.4459672,2,19.028900146484375,0.09033700078725815,60951.462835600134
14,2460949.937662,82.9617398,-10.4459842,1,19.978599548339844,0.15672899782657623,60949.43766199984
15,2460943.9781366,82.9617254,-10.4460002,1,19.322799682617188,0.11457700282335281,60943.478136599995
16,2460942.003912,82.9616625,-10.4460277,1,19.1481990814209,0.10930000245571136,60941.503911999986
17,2460941.9244792,82.9616035,-10.4459849,2,18.839099884033203,0.0807809978723526,60941.42447920004
18,2460935.9228009,82.9615947,-10.4459891,2,18.463300704956055,0.08160000294446945,60935.42280089995
19,2460933.0068287,82.9615914,-10.4459943,2,18.34779930114746,0.06290700286626816,60932.50682870019
20,2460932.9765162,82.9616279,-10.4459652,1,18.53339958190918,0.08563300222158432,60932.47651620023
21,2460929.0013889,82.9616109,-10.4460045,2,18.36280059814453,0.08062899857759476,60928.50138889998
22,2460928.944919,82.9616092,-10.4459544,1,18.48110008239746,0.12465800344944,60928.444918999914
23,2460926.9465278,82.9615744,-10.445959,1,18.551000595092773,0.14487700164318085,60926.44652780006
24,2460924.980706,82.9615903,-10.4459722,1,18.678699493408203,0.13034699857234955,60924.48070599977
25,2460924.9448032,82.9615782,-10.446012,2,18.627899169921875,0.12019900232553482,60924.4448032002
