,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460942.0219213,125.3211293,13.2394541,2,19.90703010559082,0.19528435170650482,60941.52192129986
1,2460942.0179514,125.3210906,13.239597,2,19.595699310302734,0.19140900671482086,60941.51795140002
3,2460935.0170833,125.3211805,13.2394306,2,19.438899993896484,0.19653700292110443,60934.51708329981
5,2460935.0090856,125.3212158,13.2394118,2,19.392799377441406,0.152646005153656,60934.5090855998
6,2460934.0178588,125.3211858,13.2394567,2,19.195600509643555,0.15565000474452972,60933.51785880001
7,2460934.0133796,125.3211834,13.2395135,2,19.215700149536133,0.14123399555683136,60933.5133795999
8,2460934.0098727,125.3211952,13.2394125,2,19.443300247192383,0.17413899302482605,60933.50987270009
11,2460933.0197454,125.3211178,13.2394077,2,19.40230941772461,0.17182837426662445,60932.519745400175
12,2460933.0197454,125.3211178,13.2394077,2,19.402299880981445,0.1718280017375946,60932.519745400175
22,2460931.0144907,125.321253,13.2394194,2,19.28030014038086,0.17691999673843384,60930.51449069986
23,2460931.0105093,125.3211963,13.2394991,2,19.429800033569336,0.21902400255203247,60930.510509300046
28,2460930.0101157,125.3212549,13.2394473,2,19.160200119018555,0.19131599366664886,60929.51011569984
41,2460927.0082407,125.3212149,13.2394644,2,19.313400268554688,0.23586100339889526,60926.50824069977
