,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460966.6978472,31.9391945,34.9035069,2,20.117015838623047,0.18578670918941498,60966.19784720009
1,2460961.8965625,31.9391491,34.9034777,2,20.00029945373535,0.10335200279951096,60961.396562499925
5,2460954.8434028,31.9391797,34.9034978,2,19.58880043029785,0.12511099874973297,60954.34340280015
7,2460951.9793171,31.9391743,34.903522,2,19.323299407958984,0.07820100337266922,60951.47931709979
9,2460949.8635069,31.9391397,34.9034924,1,20.62969970703125,0.26940301060676575,60949.36350690015
10,2460949.8193403,31.9391557,34.9034984,2,19.197999954223633,0.07933200150728226,60949.319340299815
11,2460943.9914352,31.9391315,34.9035102,2,19.180700302124023,0.07028999924659729,60943.491435199976
12,2460943.8761227,31.9390914,34.9035173,1,20.277099609375,0.2704780101776123,60943.37612270005
13,2460941.9369907,31.939139,34.9035032,2,19.152000427246094,0.07433000206947327,60941.4369907002
14,2460941.8596296,31.9392289,34.9034707,1,20.43549919128418,0.2593750059604645,60941.35962959984
15,2460938.9703588,31.9391922,34.9034645,1,20.56679916381836,0.23297099769115448,60938.47035880014
16,2460938.9407986,31.9391344,34.9034752,2,19.547700881958008,0.06832700222730637,60938.440798600204
17,2460934.9880556,31.9391462,34.9034959,2,20.363100051879883,0.1656610071659088,60934.48805559985
