,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460978.7109259,12.4553623,-9.2010188,2,20.065330505371094,0.19651608169078827,60978.21092589991
3,2460974.7986806,12.4553258,-9.2009219,1,20.714500427246094,0.32088398933410645,60974.29868059978
4,2460974.7728588,12.4552763,-9.2009367,2,19.985000610351562,0.19746899604797363,60974.2728587999
6,2460972.7739931,12.4553485,-9.2009047,1,20.4419002532959,0.3811129927635193,60972.27399310004
7,2460969.8156481,12.4553647,-9.2009419,1,20.087099075317383,0.15922200679779053,60969.31564809987
8,2460969.7737384,12.4553342,-9.2009237,2,19.839500427246094,0.13312199711799622,60969.27373840008
9,2460967.8164352,12.455356,-9.200923,1,20.053300857543945,0.25369900465011597,60967.31643520016
10,2460967.7951157,12.4553311,-9.2009575,2,19.833900451660156,0.12661999464035034,60967.29511569999
11,2460965.8360069,12.4553303,-9.2010579,1,20.015499114990234,0.23305200040340424,60965.33600689983
13,2460961.8005787,12.4553496,-9.2009506,2,19.488399505615234,0.10842999815940857,60961.30057869991
14,2460961.8005787,12.4553496,-9.2009506,2,19.48841667175293,0.10843018442392349,60961.30057869991
15,2460961.7513079,12.455352,-9.2009368,1,19.728500366210938,0.15476299822330475,60961.251307900064
16,2460961.7513079,12.455352,-9.2009368,1,19.728500366210938,0.15476299822330475,60961.251307900064
17,2460959.947662,12.45539,-9.2009427,1,19.446199417114258,0.22940799593925476,60959.44766200008
19,2460956.7960648,12.4553486,-9.2009696,2,19.16349983215332,0.2015250027179718,60956.29606480012
20,2460953.7937269,12.4553936,-9.2009938,1,19.220699310302734,0.22744999825954437,60953.29372690013
21,2460953.7236227,12.4553618,-9.200975,2,19.274499893188477,0.20029200613498688,60953.2236227002
23,2460951.8158333,12.4553599,-9.2009376,2,19.23859977722168,0.13051800429821014,60951.31583329989
24,2460949.8586921,12.4553691,-9.2009885,1,19.151899337768555,0.09505700320005417,60949.358692099806
25,2460949.8332639,12.455342,-9.2009606,2,19.202499389648438,0.1213039979338646,60949.33326390013
26,2460943.8351042,12.4553356,-9.2009582,1,19.298999786376953,0.10704900324344635,60943.33510420006
27,2460943.767037,12.4553473,-9.2009555,2,19.29210090637207,0.11229100078344345,60943.26703700004
28,2460941.8380556,12.4553813,-9.2009609,1,19.458599090576172,0.12972000241279602,60941.33805559995
29,2460941.7425463,12.4553639,-9.2009365,2,19.629499435424805,0.11673399806022644,60941.24254629994
