,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460975.6952083,27.5863928,0.9156628,2,20.465133666992188,0.19949671626091003,60975.195208299905
5,2460973.7460995,27.5863536,0.9156622,2,20.548200607299805,0.22865399718284607,60973.246099499986
7,2460971.8481019,27.5863786,0.9156759,2,20.10460090637207,0.21865899860858917,60971.34810189996
11,2460969.7760995,27.5863781,0.9156606,2,20.221900939941406,0.17499899864196777,60969.27609949978
14,2460967.8029977,27.5864133,0.9157237,2,20.258899688720703,0.22410699725151062,60967.30299769994
15,2460967.8025231,27.5863754,0.9156684,2,20.24690055847168,0.2423660010099411,60967.30252309982
19,2460965.8114352,27.5863724,0.9156527,2,19.986400604248047,0.17213000357151031,60965.31143519981
21,2460961.880544,27.5863674,0.9157096,2,19.95039939880371,0.14022399485111237,60961.38054399984
23,2460961.7779745,27.5863953,0.9157225,1,20.25189971923828,0.2436619997024536,60961.277974499855
28,2460954.8487037,27.5863583,0.9156347,2,19.43470001220703,0.19776499271392822,60954.34870370012
31,2460953.8248148,27.5863852,0.9156835,1,19.616500854492188,0.21487000584602356,60953.32481480017
32,2460952.8371181,27.5864,0.9156546,2,19.39080047607422,0.15897299349308014,60952.33711809991
33,2460952.8125579,27.5864441,0.9156559,1,19.42770004272461,0.268871009349823,60952.31255789986
34,2460951.9351968,27.5863175,0.915682,1,19.803699493408203,0.1311350017786026,60951.43519680016
35,2460951.8079167,27.5863796,0.9156835,2,19.45549964904785,0.13196100294589996,60951.30791669991
36,2460950.8985069,27.5863472,0.915626,2,19.47909927368164,0.1425890028476715,60950.39850689983
37,2460950.8555556,27.5863352,0.915653,1,19.76740074157715,0.1359490007162094,60950.35555560002
38,2460949.881875,27.5863815,0.9157165,1,19.668699264526367,0.1252869963645935,60949.38187499996
39,2460949.7932292,27.5863754,0.9156742,2,19.458200454711914,0.10683099925518036,60949.293229199946
42,2460944.8537963,27.5863244,0.9156293,2,19.59160041809082,0.0947669968008995,60944.35379630001
43,2460944.8523843,27.5862873,0.9156606,2,19.487300872802734,0.10915199667215347,60944.35238429997
44,2460942.8716204,27.5863339,0.9156921,1,19.559600830078125,0.11202099919319153,60942.37162039988
45,2460942.8711458,27.5863061,0.9156585,1,19.629600524902344,0.15522299706935883,60942.37114580022
46,2460942.8447801,27.586391,0.9156665,2,19.6658992767334,0.17588800191879272,60942.344780100044
47,2460942.8158102,27.5863424,0.9156449,2,19.48430061340332,0.11493100225925446,60942.31581019983
48,2460939.8809838,27.5863822,0.9157077,2,19.989900588989258,0.12612800300121307,60939.38098380016
49,2460939.8574074,27.5863473,0.9157084,1,19.825000762939453,0.19824999570846558,60939.35740739992
50,2460939.8496991,27.5863537,0.9156371,1,19.844600677490234,0.1592860072851181,60939.349699100014
52,2460935.8610301,27.5863493,0.9156292,1,20.418399810791016,0.22434300184249878,60935.36103009991
