,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460969.7547917,326.0880867,8.2232296,2,19.980323791503906,0.17576518654823303,60969.254791699816
1,2460969.7262384,326.0880419,8.2233457,1,20.681100845336914,0.4061700105667114,60969.22623840021
2,2460967.7563194,326.088137,8.2233174,2,19.713699340820312,0.18786199390888214,60967.25631939992
3,2460967.7135648,326.0880893,8.2233788,1,20.569499969482422,0.3474990129470825,60967.2135648001
4,2460965.7748727,326.0882081,8.2233077,2,19.692699432373047,0.181768998503685,60965.27487270022
5,2460960.6928472,326.0881102,8.2232995,1,19.78969955444336,0.2389640063047409,60960.192847200204
6,2460960.6856134,326.0881573,8.2233152,2,19.37969970703125,0.11911699920892715,60960.18561339984
9,2460955.7552083,326.0882229,8.223345,2,19.512100219726562,0.26692599058151245,60955.25520829996
10,2460955.6716898,326.0880353,8.223236,1,19.351600646972656,0.3096260130405426,60955.17168979999
12,2460953.7112963,326.0880578,8.2233109,2,19.212299346923828,0.19757500290870667,60953.21129629994
13,2460951.6900463,326.088155,8.2233085,2,19.19770050048828,0.15546800196170807,60951.19004630018
14,2460949.7385648,326.0881383,8.2232839,2,19.43470001220703,0.1311960071325302,60949.238564800005
15,2460949.6281019,326.088049,8.2233356,1,19.07979965209961,0.15170399844646454,60949.12810190022
16,2460948.7865278,326.0881811,8.2233156,1,19.273000717163086,0.08861599862575531,60948.28652779991
17,2460948.7178241,326.0881637,8.2233051,2,19.34510040283203,0.10781899839639664,60948.21782410005
18,2460943.81125,326.0881242,8.2232888,1,19.79170036315918,0.15048900246620178,60943.311249999795
19,2460943.7356597,326.088105,8.2232837,2,20.196699142456055,0.2356709986925125,60943.23565969989
21,2460941.7205903,326.0880615,8.2233164,2,20.481199264526367,0.2930920124053955,60941.22059029993
