,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460989.6608912,33.0206376,52.7387306,2,19.508590698242188,0.12372101098299026,60989.16089119995
7,2460981.822338,33.0207324,52.7386025,2,19.409299850463867,0.10930799692869186,60981.32233799994
9,2460979.8498958,33.020674,52.7386072,1,20.108999252319336,0.15656299889087677,60979.3498958
10,2460979.8049074,33.0207154,52.7386073,2,19.309200286865234,0.11381500214338303,60979.30490740016
11,2460977.8580324,33.0207403,52.7386611,2,19.226699829101562,0.07725299894809723,60977.35803239979
12,2460977.7603588,33.0207573,52.7386939,1,19.95210075378418,0.14916600286960602,60977.26035880018
13,2460975.826169,33.0206288,52.7386697,1,19.767000198364258,0.11283300071954727,60975.32616900001
14,2460975.7004167,33.0207577,52.7386558,2,19.18549919128418,0.07195500284433365,60975.20041669998
15,2460973.8261227,33.0207552,52.7386502,1,19.48150062561035,0.07482799887657166,60973.32612269977
16,2460973.737963,33.0207479,52.7385995,2,19.119699478149414,0.0726659968495369,60973.23796299985
17,2460971.8407407,33.0207635,52.7386573,2,18.993000030517578,0.06640899926424026,60971.34074069979
20,2460969.8244329,33.0207246,52.7386222,1,19.17639923095703,0.08902499824762344,60969.324432900175
21,2460969.8083796,33.020716,52.7386149,2,18.823299407958984,0.05067000165581703,60969.308379599825
22,2460967.8278704,33.0206802,52.7386484,1,19.234399795532227,0.10643500089645386,60967.32787040016
23,2460967.8063542,33.0207284,52.7386206,2,18.68280029296875,0.04907599836587906,60967.3063542
24,2460965.8824074,33.0206321,52.7386827,1,19.107900619506836,0.07700300216674805,60965.382407399826
25,2460965.8222454,33.0206926,52.7386392,2,18.660900115966797,0.057923998683691025,60965.32224539993
26,2460961.7441782,33.0207482,52.7386191,1,18.98349952697754,0.07034499943256378,60961.24417820014
27,2460961.7285995,33.02073,52.7386413,2,18.605899810791016,0.05758599936962128,60961.22859949991
29,2460957.8771065,33.0207044,52.7386659,1,19.032899856567383,0.18490800261497498,60957.37710649986
30,2460955.8429861,33.0206917,52.7386107,2,18.747100830078125,0.11089999973773956,60955.34298609989
31,2460955.7397338,33.0207219,52.7386172,1,19.08289909362793,0.17336800694465637,60955.239733799826
32,2460953.901875,33.0207217,52.7386637,2,19.21769905090332,0.12881499528884888,60953.40187499998
33,2460953.8403241,33.0206494,52.7387036,1,19.477500915527344,0.18764300644397736,60953.34032410011
35,2460951.9517708,33.0207674,52.7386354,2,19.45330047607422,0.09239500015974045,60951.451770800166
36,2460951.9296759,33.0206533,52.7386946,1,19.770999908447266,0.12664900720119476,60951.42967589991
37,2460951.9286574,33.0207829,52.7385982,1,20.09469985961914,0.17710000276565552,60951.428657399956
38,2460949.8891898,33.0207903,52.7384921,1,20.52549934387207,0.2890639901161194,60949.38918979978
