,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460977.9784491,122.5326569,-0.2292757,2,19.67769432067871,0.15134163200855255,60977.47844910016
1,2460973.9609838,122.5326304,-0.2292352,2,19.505199432373047,0.10711699724197388,60973.46098379977
2,2460971.0026968,122.5325915,-0.229244,1,19.33139991760254,0.10763700306415558,60970.502696800046
3,2460970.9574537,122.5326252,-0.229216,2,19.319000244140625,0.11299599707126617,60970.45745369978
4,2460969.0042477,122.5326005,-0.2292133,1,19.228300094604492,0.10325600206851959,60968.504247699864
5,2460968.9781713,122.5327122,-0.2292595,2,19.17020034790039,0.09458799660205841,60968.47817130014
6,2460967.0035995,122.5326403,-0.2292246,1,19.087200164794922,0.11117000132799149,60966.50359949982
7,2460966.9650231,122.5326058,-0.2292366,2,19.137100219726562,0.08932799845933914,60966.46502309991
8,2460961.9999306,122.5326016,-0.229231,1,19.043100357055664,0.10559400171041489,60961.49993060017
9,2460961.944537,122.5325974,-0.2292388,2,19.144800186157227,0.12626700103282928,60961.4445369998
10,2460958.993206,122.5325619,-0.2292058,1,18.966400146484375,0.15823300182819366,60958.493205999956
11,2460956.9767245,122.5325565,-0.2292911,1,19.09160041809082,0.22077900171279907,60956.47672449984
14,2460953.0023495,122.5325608,-0.2292714,1,19.42140007019043,0.14929400384426117,60952.50234950008
15,2460951.0028704,122.5326846,-0.2291736,1,20.60740089416504,0.27236300706863403,60950.50287039997
