,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461031.6515856,57.6817098,-2.4523768,2,20.024337768554688,0.13530854880809784,61031.15158559987
1,2461029.7286227,57.6817176,-2.4524114,1,20.727699279785156,0.27925899624824524,61029.22862270009
2,2461029.6910417,57.6817332,-2.4523805,2,19.836299896240234,0.1274379938840866,61029.191041700076
3,2461027.7127894,57.6817722,-2.452552,1,20.681900024414062,0.26635199785232544,61027.212789400015
4,2461025.7467708,57.6816499,-2.4524531,2,20.05459976196289,0.22801800072193146,61025.24677080009
5,2461025.711956,57.681707,-2.4523537,1,20.486799240112305,0.300042986869812,61025.211955999956
6,2461023.7514815,57.681827,-2.4523126,1,20.730100631713867,0.2861259877681732,61023.25148149999
7,2461023.7259028,57.6816614,-2.4523744,2,19.664400100708008,0.1085209995508194,61023.22590279998
9,2461021.7538542,57.6817165,-2.4522349,2,19.57900047302246,0.12315099686384201,61021.25385419978
11,2461017.7307292,57.6817311,-2.4523608,2,19.447099685668945,0.11882700026035309,61017.230729199946
12,2461015.8262616,57.6817524,-2.4523269,2,19.395299911499023,0.18832799792289734,61015.326261600014
15,2461010.8141088,57.6817421,-2.4523901,2,19.19879913330078,0.11636199802160263,61010.31410880014
17,2461009.8002431,57.6817165,-2.4523652,2,19.146699905395508,0.0859609991312027,61009.30024310015
18,2461009.7565278,57.6817159,-2.4523613,1,20.09160041809082,0.23138099908828735,61009.25652780011
19,2461007.8743981,57.6817114,-2.4523653,1,20.220600128173828,0.2231999933719635,61007.37439810019
20,2461007.8359375,57.6817054,-2.4523785,2,19.053600311279297,0.09135700017213821,61007.3359375
21,2461005.7789931,57.6816832,-2.4523711,2,18.948299407958984,0.10014499723911285,61005.27899309993
22,2461005.7452199,57.6817444,-2.452368,1,20.14080047607422,0.22886599600315094,61005.24521989981
23,2461003.8271181,57.6817032,-2.4523598,2,18.732999801635742,0.08150199800729752,61003.32711810013
24,2460991.8189815,57.6817165,-2.4523631,2,18.370800018310547,0.10384300351142883,60991.31898149988
25,2460989.8885069,57.6816931,-2.4523841,2,18.289499282836914,0.05639699846506119,60989.38850690005
26,2460989.8153472,57.6817126,-2.4523939,1,18.855100631713867,0.09306299686431885,60989.315347199794
27,2460987.8375463,57.6817105,-2.4523554,2,18.273099899291992,0.06342100352048874,60987.33754630014
28,2460986.9458449,57.6817383,-2.4523888,1,18.536399841308594,0.11097600311040878,60986.44584489986
29,2460986.8789931,57.6817222,-2.4523517,2,18.20009994506836,0.06910599768161774,60986.37899310002
30,2460985.8767361,57.6817245,-2.4523649,1,18.60569953918457,0.09910599887371063,60985.37673609983
31,2460985.8153819,57.6816862,-2.4523923,1,18.562599182128906,0.12298200279474258,60985.31538189994
32,2460983.8606713,57.6817086,-2.4523419,1,18.241300582885742,0.09348999708890915,60983.360671299975
33,2460983.8377662,57.6817128,-2.4523651,2,18.087900161743164,0.05430600047111511,60983.33776619984
34,2460981.901331,57.6817386,-2.4523809,1,18.114500045776367,0.060596998780965805,60981.40133100003
35,2460981.8337847,57.681713,-2.4523725,2,17.95199966430664,0.04429500177502632,60981.333784699906
36,2460979.9140046,57.6817081,-2.4523644,2,17.831199645996094,0.056311000138521194,60979.41400460014
37,2460979.8385764,57.6817146,-2.4523663,1,17.944799423217773,0.057881999760866165,60979.33857640019
38,2460977.8381597,57.6817145,-2.4523774,2,17.705400466918945,0.04030200093984604,60977.338159699924
39,2460975.8808681,57.6817093,-2.452363,2,17.66939926147461,0.047405000776052475,60975.380868100096
40,2460975.8362731,57.6817091,-2.4523751,1,17.722299575805664,0.045559998601675034,60975.33627310023
41,2460973.9007407,57.6817102,-2.4523677,2,17.59760093688965,0.04338499903678894,60973.40074069984
42,2460970.8986921,57.6817021,-2.4523622,2,17.680999755859375,0.04434499889612198,60970.39869209984
43,2460968.8768634,57.681703,-2.4523708,1,17.70829963684082,0.0464089997112751,60968.376863399986
44,2460966.8529282,57.6817029,-2.452359,1,17.81760025024414,0.05129599943757057,60966.352928199805
45,2460961.9192245,57.6817119,-2.4523675,2,18.537700653076172,0.06136700138449669,60961.41922450019
46,2460961.8576389,57.6817102,-2.4523516,1,18.574499130249023,0.09221900254487991,60961.35763890017
47,2460959.9200926,57.6817339,-2.452321,1,19.215299606323242,0.12129099667072296,60959.42009259993
48,2460959.8696412,57.6817003,-2.4523689,2,19.1072998046875,0.10403600335121155,60959.369641200174
