,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461030.7219329,2.1976952,-9.5945176,2,19.887739181518555,0.20035000145435333,61030.22193290014
1,2461030.5869329,2.1977337,-9.5944473,1,20.357999801635742,0.18512600660324097,61030.086932899896
3,2461028.6056944,2.1977766,-9.5944614,2,19.5221004486084,0.12859000265598297,61028.10569440015
4,2461026.7036111,2.1977866,-9.5945629,1,20.022199630737305,0.25721898674964905,61026.20361110009
5,2461023.7065741,2.1978014,-9.5944332,2,19.245800018310547,0.23294399678707123,61023.20657410007
6,2461023.6267014,2.197853,-9.5945378,1,19.561599731445312,0.2121579945087433,61023.12670140015
7,2461021.6723148,2.1977083,-9.5945373,2,18.981300354003906,0.07911600172519684,61021.17231479986
8,2461021.6272222,2.1977331,-9.5945242,1,19.47480010986328,0.1374250054359436,61021.127222199924
9,2461017.6911343,2.1977026,-9.5945123,2,19.049100875854492,0.10414499789476395,61017.19113430008
10,2461015.6474537,2.1977374,-9.5945377,2,18.993600845336914,0.1217769980430603,61015.14745370019
11,2461015.6052778,2.1977881,-9.5945025,1,19.119600296020508,0.1625880002975464,61015.1052778
13,2461013.6083333,2.1978488,-9.594656,1,18.87179946899414,0.2873710095882416,61013.10833329987
14,2461010.7751042,2.1977332,-9.5944876,2,18.73900032043457,0.16400200128555298,61010.2751042
16,2461007.6472106,2.197763,-9.594456,1,18.699499130249023,0.09203600138425827,61007.147210599855
18,2461005.7098495,2.1977565,-9.5944761,1,18.607900619506836,0.07209700345993042,61005.2098495001
19,2461005.6725,2.1977566,-9.5944547,2,18.671499252319336,0.07925199717283249,61005.17249999987
20,2461003.683206,2.197719,-9.5945205,2,18.610000610351562,0.05946899950504303,61003.1832059999
21,2460991.6709838,2.1977369,-9.5944983,2,18.75040054321289,0.07292799651622772,60991.1709838002
22,2460990.7863773,2.1977646,-9.5944996,1,18.68720054626465,0.08857999742031097,60990.28637730004
23,2460990.7340856,2.1977562,-9.5945003,2,18.734899520874023,0.09644600003957748,60990.23408559989
24,2460989.7389352,2.1977174,-9.5945067,1,18.690200805664062,0.07518299669027328,60989.23893520003
25,2460989.6687037,2.1977379,-9.5945204,2,18.776199340820312,0.09608499705791473,60989.16870369995
26,2460988.7695139,2.1977291,-9.5945113,2,18.912399291992188,0.1053910031914711,60988.269513899926
27,2460988.7108333,2.1977803,-9.5945028,1,18.734100341796875,0.07086099684238434,60988.210833299905
28,2460987.758831,2.1977321,-9.5945095,2,18.798099517822266,0.07514999806880951,60987.258830999956
29,2460987.6692824,2.1977389,-9.5944714,1,18.789499282836914,0.10467199981212616,60987.16928240005
30,2460986.7739815,2.1977288,-9.5945585,2,18.948699951171875,0.12076699733734131,60986.27398149995
31,2460986.7307523,2.1977527,-9.5945124,1,18.84000015258789,0.1055620014667511,60986.230752300005
33,2460985.6100231,2.1977474,-9.5945107,1,18.904499053955078,0.14882299304008484,60985.11002309993
34,2460983.7715972,2.1977265,-9.5945235,2,18.930400848388672,0.11402600258588791,60983.27159720007
35,2460983.6897454,2.197782,-9.5945508,1,18.814699172973633,0.14619199931621552,60983.1897454001
36,2460980.7938542,2.1977295,-9.5944081,2,19.361299514770508,0.13801899552345276,60980.293854199816
37,2460980.7524884,2.1978425,-9.594482,1,19.20330047607422,0.15806999802589417,60980.252488399856
38,2460978.7605208,2.1977801,-9.5945167,1,19.46969985961914,0.12706799805164337,60978.26052080002
39,2460978.6908796,2.1977011,-9.5944801,2,19.570199966430664,0.1651040017604828,60978.19087960012
41,2460976.7313079,2.1977042,-9.594491,1,19.82819938659668,0.15442200005054474,60976.231307900045
43,2460974.7121875,2.1977527,-9.5945073,1,20.191200256347656,0.213236004114151,60974.212187500205
44,2460972.7522917,2.1975957,-9.5944392,1,20.562999725341797,0.2963950037956238,60972.25229169987
