,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461017.6858333,20.0795188,29.5514107,2,20.075210571289062,0.20000118017196655,61017.1858333
4,2461015.6489005,20.0795993,29.5514042,2,19.90369987487793,0.30212798714637756,61015.14890050003
10,2461009.6204282,20.0796131,29.5513791,2,19.998300552368164,0.3049370050430298,61009.12042819988
11,2461007.8206713,20.0795617,29.5513593,2,19.78569984436035,0.15559899806976318,61007.32067129994
13,2461006.7598264,20.0796336,29.5514744,1,20.278499603271484,0.4213300049304962,61006.25982639985
14,2461006.6764931,20.0795014,29.5513979,2,19.977399826049805,0.23089799284934998,61006.17649309989
15,2461005.7603356,20.0795231,29.5514204,2,19.6653995513916,0.1908629983663559,61005.2603356
16,2461005.7127199,20.0795624,29.5513395,1,20.199100494384766,0.2135089933872223,61005.21271990007
17,2461003.8392708,20.0795678,29.5513398,2,19.607500076293945,0.15088899433612823,61003.33927079989
18,2460992.7593403,20.0794899,29.5514368,1,19.24020004272461,0.12324400246143341,60992.259340300225
19,2460992.6861458,20.0795311,29.5514283,2,19.24329948425293,0.26943498849868774,60992.186145800166
21,2460991.6960532,20.0795344,29.5513139,2,19.18869972229004,0.25593501329421997,60991.196053199936
22,2460990.7369329,20.0795109,29.5514096,2,19.127199172973633,0.09524600207805634,60990.2369328998
23,2460990.7287269,20.0795891,29.5513848,1,19.150999069213867,0.17621199786663055,60990.22872690018
24,2460989.6940972,20.0795823,29.55135,1,19.096500396728516,0.09849300235509872,60989.19409719994
25,2460989.6763194,20.0795598,29.5513851,2,19.06570053100586,0.10987400263547897,60989.17631939985
26,2460988.8037847,20.0795039,29.5514152,2,19.042400360107422,0.11548300087451935,60988.30378470011
27,2460988.6847106,20.0795901,29.5513121,1,19.137699127197266,0.17608800530433655,60988.18471059995
28,2460987.7814583,20.0795558,29.5513879,2,19.058799743652344,0.14754199981689453,60987.28145830007
29,2460987.6703704,20.0795348,29.5514086,1,19.127500534057617,0.12766599655151367,60987.17037039995
30,2460986.8185648,20.0795616,29.5514113,2,19.16819953918457,0.17252899706363678,60986.31856480008
32,2460985.8986343,20.0796422,29.5514015,1,19.041799545288086,0.3170570135116577,60985.3986343001
33,2460985.7536458,20.0795385,29.5513189,1,18.99449920654297,0.1638599932193756,60985.253645800054
35,2460984.894456,20.0796324,29.5513057,1,18.8843994140625,0.32817700505256653,60984.39445600007
36,2460982.916794,20.0794046,29.5514621,2,19.184600830078125,0.22321200370788574,60982.41679400019
37,2460982.7387963,20.0795185,29.5513138,1,18.7278995513916,0.199864000082016,60982.23879629979
39,2460980.9337616,20.0794626,29.5513598,1,19.411300659179688,0.15817800164222717,60980.43376159994
40,2460980.9328241,20.0795682,29.5513568,1,19.21619987487793,0.13151299953460693,60980.4328240999
41,2460980.8184838,20.0795247,29.5514465,2,19.56410026550293,0.17519700527191162,60980.31848380016
42,2460980.8114352,20.0795321,29.5514227,2,19.24209976196289,0.11947000026702881,60980.31143519981
43,2460978.860081,20.0795699,29.5514026,1,19.464500427246094,0.14002299308776855,60978.36008099979
44,2460978.8427662,20.0795243,29.5513988,1,19.505199432373047,0.1271360069513321,60978.34276620019
45,2460978.7277083,20.0795665,29.5513263,2,19.666400909423828,0.18000300228595734,60978.22770830011
46,2460978.7272338,20.0795663,29.5513957,2,19.569700241088867,0.20744599401950836,60978.227233800106
47,2460976.8579398,20.0795716,29.5513529,1,19.64389991760254,0.16860100626945496,60976.35793979978
48,2460976.8019097,20.0796946,29.5513426,2,19.855100631713867,0.22978800535202026,60976.301909700036
49,2460976.7548611,20.0795357,29.551343,2,20.068899154663086,0.2627530097961426,60976.25486110011
50,2460976.7456134,20.079343,29.5510466,1,20.00079917907715,0.26339998841285706,60976.24561339989
52,2460974.8599884,20.0796032,29.5512941,1,20.11009979248047,0.20677399635314941,60974.35998839978
53,2460974.8346181,20.0794812,29.5514416,1,20.396499633789062,0.31050801277160645,60974.334618099965
54,2460974.7826736,20.0794986,29.5513715,2,20.437000274658203,0.27944400906562805,60974.28267360013
