,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461012.0204745,149.0030941,13.1340376,1,19.703493118286133,0.17074933648109436,61011.52047450002
1,2461011.9210185,149.0030717,13.1341167,2,19.08679962158203,0.08973599970340729,61011.42101849988
2,2461009.9791319,149.0030285,13.1340752,1,19.423599243164062,0.1334410011768341,61009.479131899774
3,2461009.9367708,149.0030656,13.1340908,2,19.108800888061523,0.0954200029373169,61009.436770800035
4,2461007.9653009,149.0030456,13.1340981,2,18.976699829101562,0.11923199892044067,61007.46530089993
5,2461007.9216204,149.0030349,13.1340949,1,19.243799209594727,0.14033199846744537,61007.42162040016
6,2461006.0065162,149.0031415,13.1340692,1,19.093599319458008,0.1340779960155487,61005.506516200025
7,2461005.9633565,149.0030732,13.1341351,2,18.922100067138672,0.09335599839687347,61005.463356500026
8,2461004.0420833,149.0030793,13.1340754,1,18.93560028076172,0.13941000401973724,61003.542083300184
9,2461003.9535532,149.0030537,13.1341315,2,18.744800567626953,0.08117999881505966,61003.45355319977
10,2461003.0541319,149.0030325,13.1340765,1,18.996999740600586,0.1558929979801178,61002.55413189996
11,2460990.0563657,149.003017,13.1340951,1,18.847700119018555,0.20771199464797974,60989.55636569997
12,2460988.0391551,149.0030419,13.1340874,2,19.0226993560791,0.09132199734449387,60987.53915510001
16,2460985.0285764,149.0030633,13.1340467,1,19.324600219726562,0.21088500320911407,60984.52857640013
17,2460984.9446875,149.0029411,13.1342135,1,19.148799896240234,0.2915549874305725,60984.44468750013
