,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461029.9946875,184.9039807,7.5485851,1,19.970142364501953,0.16994202136993408,61029.494687499944
1,2461027.9618056,184.9040237,7.5485408,1,19.647199630737305,0.1777919977903366,61027.46180560021
2,2461018.048287,184.9040147,7.5486423,1,18.858699798583984,0.1587889939546585,61017.54828700004
3,2461016.0288889,184.9039879,7.5486011,2,18.735200881958008,0.09866199642419815,61015.52888889983
4,2461016.0040394,184.9039184,7.5485903,1,18.712299346923828,0.1363379955291748,61015.50403939979
5,2461014.0287269,184.9039304,7.5487729,1,18.55030059814453,0.23375000059604645,61013.5287269
7,2461011.0731366,184.9040727,7.5484349,2,18.73200035095215,0.17513799667358398,61010.5731366002
8,2461010.9943287,184.9039427,7.5486058,1,18.543500900268555,0.08838699758052826,61010.494328700006
9,2461009.0421181,184.9039386,7.5485838,1,18.508499145507812,0.08379100263118744,61008.542118099984
10,2461008.9989931,184.9039718,7.5486215,2,18.64889907836914,0.10086999833583832,61008.49899310013
11,2461008.0504514,184.9039737,7.5486049,2,18.713499069213867,0.10587400197982788,61007.550451400224
13,2461006.050463,184.9039392,7.5486064,2,18.69300079345703,0.12125500291585922,61005.55046299985
14,2461005.0054977,184.9039582,7.5485759,2,18.75079917907715,0.1069210022687912,61004.50549770007
15,2461003.0287847,184.9039562,7.5485614,1,18.734899520874023,0.10136900097131729,61002.528784700204
