,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461030.6310532,336.0855868,10.2077779,2,19.960847854614258,0.186464324593544,61030.13105319999
3,2461028.5864468,336.0855347,10.207746,2,19.726900100708008,0.19138400256633759,61028.0864467998
5,2461026.6038542,336.0855896,10.2077535,2,19.71030044555664,0.15005600452423096,61026.10385419987
6,2461024.6346065,336.0855556,10.2077594,2,19.717500686645508,0.15724599361419678,61024.134606500156
9,2461022.6109606,336.0855533,10.2077343,2,19.574399948120117,0.12650500237941742,61022.110960599966
10,2461020.7030671,336.08557,10.2077667,2,19.568700790405273,0.2011689990758896,61020.20306710014
11,2461020.6458565,336.0855418,10.2076037,1,19.989700317382812,0.1900710016489029,61020.14585650014
12,2461016.6571412,336.0857279,10.207827,2,19.0846004486084,0.20600399374961853,61016.1571411998
13,2461016.6427315,336.085624,10.2077318,1,19.376699447631836,0.2434300035238266,61016.14273149986
14,2461014.6302199,336.0856262,10.2078267,1,19.303300857543945,0.23270399868488312,61014.13021990005
15,2461014.5975116,336.0856671,10.2077045,2,19.404600143432617,0.16353699564933777,61014.09751159977
16,2461012.5918171,336.0855643,10.2077544,2,19.065399169921875,0.14090999960899353,61012.09181710007
18,2461008.649838,336.0854879,10.2077078,1,19.01059913635254,0.13576500117778778,61008.14983800007
19,2461008.6173148,336.0855724,10.2077308,2,18.969600677490234,0.09120599925518036,61008.117314800154
20,2461006.6641551,336.0855391,10.2076856,2,18.958200454711914,0.11343800276517868,61006.16415510001
21,2461006.5884144,336.0855624,10.2077026,1,18.968700408935547,0.13525499403476715,61006.088414399885
22,2461004.6669792,336.0855653,10.2077208,1,18.988800048828125,0.08672499656677246,61004.16697920021
